Run,SRA,Model,Assay,LibrarySelection,Class,Part of microRNAOme 1,CellType,batch,group,Total_reads,Total Filtered reads,Trimmed Reads (unique),All_miRNA_Reads,Filtered_miRNA_Reads,Unique_miRNAs,Hairpin miRNAs Reads,mature tRNA Reads,primary tRNA Reads,snoRNA Reads,rRNA Reads,Other ncRNA reads,mRNA Reads,Remaining Reads,Experiment,BioProject,Sample,BioSample,CenterName,DOI,PMID
DRR041393,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2301241,1301555,71989,725013,722561,469,256,56893,2675,91570,270680,41027,28084,85357,DRX037027,PRJDB2675,DRS007996,SAMD00004870,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041530,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,3782536,3563881,117085,2292242,2290147,512,1413,725570,6806,74044,269459,49651,12448,132248,DRX037164,PRJDB2675,DRS007988,SAMD00004950,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041578,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2906968,2713616,101261,1851235,1848312,508,1150,459383,7891,58615,181732,37776,13487,102347,DRX037212,PRJDB2675,DRS007989,SAMD00005945,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041592,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2010240,1917859,104623,934069,932221,418,482,564743,4046,31991,173070,93572,11904,103982,DRX037226,PRJDB2675,DRS007994,SAMD00004865,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041620,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2925215,2736780,110066,1870453,1868037,488,2569,293625,9718,122136,240101,73440,27193,97545,DRX037254,PRJDB2675,DRS007995,SAMD00005509,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041356,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Amniotic_epithelial_cell,159,2,3323105,2990996,140581,1054151,1050961,625,11348,127330,7464,113015,1384414,89662,17653,185959,DRX036990,PRJDB2675,DRS008000,SAMD00005540,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041386,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Amniotic_epithelial_cell,159,2,2606499,1744480,94043,749227,746993,555,4234,72632,3605,74002,653454,64046,9470,113810,DRX037020,PRJDB2675,DRS008001,SAMD00005434,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041430,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Amniotic_epithelial_cell,159,2,3191301,2806192,129002,1223419,1220391,621,8069,117028,4452,99462,1086929,77402,16174,173257,DRX037064,PRJDB2675,DRS008002,SAMD00005453,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041399,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fibroblast,No,Annulus_fibrosus_cell,159,40,1374559,948875,90132,180505,179055,338,523,96411,630,25964,519154,36912,6326,82450,DRX037033,PRJDB2675,DRS008003,SAMD00005107,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041408,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fibroblast,No,Annulus_fibrosus_cell,159,40,1127004,731871,78536,138115,137027,310,457,78229,499,20281,381808,37894,6986,67602,DRX037042,PRJDB2675,DRS008004,SAMD00005450,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
