Run,SRA,Model,Assay,LibrarySelection,Class,Part of microRNAOme 1,CellType,batch used in the normalization approaches,group used in the normalization approaches,Total_reads,Total Input Reads after miREC error correction,Trimmed Reads (unique),All_miRNA_Reads,Filtered_miRNA_Reads,Unique_miRNAs,Hairpin miRNAs Reads,mature tRNA Reads,primary tRNA Reads,snoRNA Reads,rRNA Reads,Other ncRNA reads,mRNA Reads,Remaining Reads,Experiment,BioProject,Sample,BioSample,CenterName,DOI,PMID
DRR041393,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2301241,1301555,71989,725013,722561,469,256,56893,2675,91570,270680,41027,28084,85357,DRX037027,PRJDB2675,DRS007996,SAMD00004870,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041530,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,3782536,3563881,117085,2292242,2290147,512,1413,725570,6806,74044,269459,49651,12448,132248,DRX037164,PRJDB2675,DRS007988,SAMD00004950,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041578,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2906968,2713616,101261,1851235,1848312,508,1150,459383,7891,58615,181732,37776,13487,102347,DRX037212,PRJDB2675,DRS007989,SAMD00005945,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041592,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2010240,1917859,104623,934069,932221,418,482,564743,4046,31991,173070,93572,11904,103982,DRX037226,PRJDB2675,DRS007994,SAMD00004865,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041620,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2925215,2736780,110066,1870453,1868037,488,2569,293625,9718,122136,240101,73440,27193,97545,DRX037254,PRJDB2675,DRS007995,SAMD00005509,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041366,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Endothelial,No,Endothelial_cell_aortic,159,20,2627706,2173248,110246,984054,977654,529,2365,132060,9852,84141,706485,72306,16926,165059,DRX037000,PRJDB2675,DRS008109,SAMD00005941,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041379,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Endothelial,No,Endothelial_cell_aortic,159,20,3135298,1807202,105710,747165,741854,532,1329,102812,10032,60558,648338,72293,13349,151326,DRX037013,PRJDB2675,DRS008108,SAMD00005519,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041394,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Endothelial,No,Endothelial_cell_aortic,159,20,1987207,1056889,72832,527627,524122,480,874,70698,5736,38543,257625,42790,7842,105154,DRX037028,PRJDB2675,DRS008110,SAMD00004981,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041548,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Endothelial,No,Endothelial_cell_aortic,159,20,2088948,1914921,82799,441541,439422,377,1539,1030721,5907,23763,222824,33012,8047,147567,DRX037182,PRJDB2675,DRS008111,SAMD00004830,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
SRR10063441,SRP220198,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_aortic,150,20,2767967,2156113,239328,202095,197146,284,324,115112,3009,998,389940,17306,3595,1423734,SRX6797318,PRJNA563721,SRS5339161,SAMN12687155,GEO,DOI: 10.1093/cvr/cvaa219,32683448
