miRNA,DRR041393,DRR041530,DRR041578,DRR041592,DRR041620,DRR041422,DRR041436,DRR041443,DRR041450,DRR041470,SRR3996364,SRR3996365,SRR3996366,SRR3996367,SRR3996368,SRR3996369,SRR1664893,SRR1664894,SRR1664895,SRR1664896,SRR1664897,SRR1988291,SRR1988292,SRR1988293,SRR1988294,SRR1988295,SRR1988296,SRR1988297,SRR1988298,SRR1988299,SRR1988300,SRR1988301,SRR1988302,DRR041504,DRR041616,SRR5127209,SRR5127214,SRR5127232,SRR5127234,DRR041368,DRR041534,SRR1988303,SRR1988304,SRR1988305,SRR1988306,SRR3199254,SRR3199255,SRR3199256,SRR3199257,SRR3199258,SRR3199259,SRR3199260,SRR3199261,SRR3199262,SRR5128189,SRR5128190,SRR5128191,SRR5128192,SRR5128193,SRR5128194,SRR5256874,SRR5256875,SRR5256876,SRR5256878,SRR5256879,SRR5256880,SRR5256881,SRR5256882,SRR5256883,SRR5833902,SRR5833903,SRR5833904,SRR5833905,SRR6283108,SRR6283109,SRR7062776,SRR7062777,SRR7062778,SRR7062779,SRR7062780,SRR7062781,SRR8478257,SRR8478258,SRR8478259,DRR041355,DRR041447,DRR041467,DRR041473,DRR041487,DRR041493,DRR041511,DRR041517,DRR041527,DRR041536,DRR041554,DRR041575,SRR1044598,SRR5755825,SRR5755860,SRR5755895,SRR5755902,SRR5755909,SRR5755916,SRR5755923,SRR5755930,SRR5755937,SRR5755944,SRR5755951,SRR5755958,SRR5755965,SRR5755972,SRR5755979,SRR5755986,SRR5755993,SRR5756000,SRR5756007,SRR5756060,SRR5756067,SRR5756074,SRR5756081,SRR5756088,SRR5756095,SRR5756102,SRR5756109,SRR7545527,SRR7545528,SRR7545529,SRR1777161,SRR1777162,SRR1777163,SRR1777164,SRR1777165,SRR1777166,SRR1777167,SRR1777168,SRR1777169
hsa-let-7a-3p,6.830302865,6.551014973,5.854956375,2.924584375,4.655738842,7.041525851,5.053907694,5.796869591,5.910287826,7.472491501,7.074923215,6.37386285,7.024949419,6.958998642,7.239931877,7.246489689,0.468541018,-6.523421475,1.103476751,-5.307651214,-1.197484768,-10.32857358,-10.17019212,-10.27550847,-10.16901569,1.224022414,0.813873723,1.424640294,1.226086763,-9.911337288,-11.08486431,-10.7908123,-10.72466864,5.320380738,3.385871483,6.637606029,8.047068279,0.574342708,2.323120785,5.526101933,2.546563044,-10.90228056,-9.47229548,-10.42365061,-9.075640343,8.251054106,-2.157724837,7.507935961,6.308180755,3.794672914,5.265170675,5.914928321,5.401760445,3.839837848,5.059660751,3.992165614,4.966699935,4.836971223,-1.701399691,1.765112009,-6.791249405,-9.2053765,-7.738992714,-9.965631154,-8.77109396,-7.460244848,-6.408854841,-6.010904204,-7.322677567,4.941308863,4.132434132,2.832479879,4.421967855,-10.05065709,-8.911020072,2.790180865,2.490710237,1.3272103,2.357560894,2.140659701,-10.16284336,5.597702286,5.202446083,6.032067682,4.500747769,7.374030017,6.831346962,8.307002464,7.701425673,8.074313803,7.821628232,7.937525127,5.72440084,5.352452426,4.464890747,4.711685716,-4.550064667,1.750317668,-3.407287268,-3.170768821,-0.168819566,1.141115953,-3.691525435,-3.14342725,-4.077703126,-3.298689482,-3.316499555,-3.247050626,-3.407287268,-3.081529636,-3.347165753,-0.130684275,1.582325361,3.111724077,-0.343509579,-4.304929701,1.004004759,-3.865516488,1.913155997,1.322760673,0.08916508,-4.451063187,-0.735488341,-3.613763837,5.249482323,5.533212631,4.902181991,4.112503347,5.327751018,2.444118933,4.236118642,4.204003095,4.399709046,3.90560742,6.433989318,3.883554614
hsa-let-7a-5p/7c-5p,16.9714161,17.78269474,17.4838445,17.01032971,17.82589673,16.3685746,15.65576621,15.48131161,15.84970869,15.90133942,16.27182317,15.99574747,16.66832818,16.19299736,16.2859583,16.50000378,18.23049736,18.71454455,18.99200157,16.77961406,18.31412157,5.159722299,5.156151475,5.569665239,5.592086516,13.78123903,13.88744506,13.84522612,13.25235911,9.047843333,7.737906329,8.642859496,8.483988335,15.19857536,15.70982781,16.37691192,16.37604581,18.46230331,13.89441513,15.96532546,16.3912268,9.059098043,9.116477589,9.44322535,8.230599067,12.50913845,5.216100983,11.46979936,12.44227334,12.07307469,13.25191356,13.45003513,14.03316654,14.90232371,17.49046792,17.50064192,17.45989995,15.90517143,14.78202272,15.54523574,7.848370553,10.04448095,9.467682672,10.52435269,9.667386215,8.762229937,7.268547927,7.328098122,8.743426928,13.35961231,13.47549778,12.73967829,13.92609253,11.71670461,10.06380965,13.04291776,12.99285669,12.95656416,12.89267583,12.95729709,13.06069792,14.65842949,12.37167186,13.61138542,14.86107915,17.16145702,15.99422276,16.83831147,16.15550648,16.78196322,15.8773318,16.9506279,15.9513532,17.38866141,17.27635654,16.8544088,16.60675116,14.50641701,12.25189321,13.38470435,13.42792604,13.56162155,13.63371421,13.21411854,14.36903182,12.80600877,13.20279319,13.32577224,13.52726568,13.30672109,13.49692087,14.73393333,14.72244496,14.38310841,14.22682429,13.92486211,12.7441401,14.08165179,15.04944875,14.8495069,14.12155349,15.22518724,14.39592063,13.76461992,17.12118174,17.50504767,17.53459509,13.54897682,13.84107612,13.15552161,13.69037523,12.93789419,13.27696032,13.23322989,14.36807951,12.49675783
hsa-let-7b-3p,-7.155541853,8.593474674,7.839974453,3.948124705,-7.430910217,8.381369058,6.063977337,6.50762468,7.40427579,7.773662042,2.520780092,1.881561651,2.753013253,2.964978844,-8.059734319,-8.025182699,1.653816392,-6.523421475,3.702959378,-5.307651214,-1.773491623,-10.32857358,-10.17019212,-10.27550847,-10.16901569,-10.65555313,-10.78866848,1.772775846,0.769118948,-9.911337288,-11.08486431,-10.7908123,-10.72466864,5.593851266,-7.629612767,-13.31755809,-11.94073571,-2.049496748,-13.51471755,-7.639963873,2.667955398,-10.90228056,-9.47229548,-10.42365061,-9.075640343,3.341886747,-11.85279286,-4.710736841,-10.73637423,-6.159281289,-11.04256713,-1.418087095,1.970301303,1.129822127,8.08790565,8.176269774,8.765694137,5.604352349,-11.63923646,2.470815443,-6.791249405,-9.2053765,-7.738992714,-9.965631154,-8.77109396,-7.460244848,-6.408854841,-6.010904204,-7.322677567,-2.217071838,-3.849888564,-12.07778874,-11.80035556,-4.494213792,-8.911020072,-8.263335798,-10.01991026,-10.27954276,-9.195236028,-8.964619742,-10.16284336,2.634089334,-8.03183947,-8.253985803,-6.391505805,8.50306542,-7.680499939,-7.443140999,7.616608767,-7.544586872,7.503589591,-7.322677567,7.767797356,-7.465258912,6.133381165,-7.465258912,-4.550064667,-5.106636495,-3.407287268,-3.170768821,-3.653884032,-3.888259222,-3.691525435,-3.14342725,-4.077703126,-3.298689482,-3.316499555,-3.247050626,-3.407287268,-3.081529636,-3.347165753,-4.546967952,-0.481200454,1.393798424,-4.772117541,-4.304929701,-3.316499555,-3.865516488,-4.540204913,0.12207161,-3.378771583,-0.927102516,-4.251302282,-3.613763837,5.930336211,5.255223385,5.45989132,-12.31351213,-10.14846207,-10.89277283,-11.44660096,-10.87285732,-11.76506688,-10.52454327,-2.285187124,-12.71121887
hsa-let-7b-5p,14.78842154,15.2864268,14.87888923,14.412389,15.40651428,13.16421139,12.70286828,12.43220302,12.97320741,12.94644561,13.02401908,11.99827793,12.61944666,11.91449031,11.99588336,11.85571054,16.22491499,16.61874384,17.01443643,15.0195014,16.31482726,-4.097819177,-4.238740063,-10.27550847,-10.16901569,9.145153813,9.090117898,9.016540374,8.485995178,-9.911337288,-11.08486431,-10.7908123,-10.72466864,11.29380652,11.94663656,12.20739578,13.1788091,16.40769967,6.450914599,10.65483568,10.98393945,-10.90228056,-9.47229548,-10.42365061,-9.075640343,10.29483739,-2.504629313,6.309783109,5.671111126,5.867742972,5.663982958,8.797393953,10.75634561,11.37117234,14.61947343,15.02706149,15.46770004,12.27011788,10.8373326,10.01686732,-6.791249405,-9.2053765,-7.738992714,2.899713542,-8.77109396,-7.460244848,-6.408854841,-6.010904204,0.255564977,9.32483685,9.423303587,7.75313112,9.477475761,6.364862178,7.426993959,-8.263335798,-10.01991026,-3.089419861,-2.503143972,-2.589232111,-3.84530126,12.25226418,6.927620773,8.074522295,12.72139898,14.52190354,12.82412573,14.14768909,12.82256771,13.96477895,12.38505643,14.09982528,12.68134934,14.18490337,13.72779968,13.39095443,14.82375029,12.33954638,10.527206,11.36593036,10.83932906,11.21696134,11.24018689,10.33476492,11.22858112,10.40090531,10.78149782,10.65392826,11.23810354,10.97218997,10.01563068,11.80273529,12.45091314,12.08975785,11.37699787,10.81892663,10.15561764,11.21765753,12.85411909,12.01440188,12.09381451,12.75094052,11.80725027,11.03453991,16.77582222,16.74358607,16.77112651,4.877269776,6.271305907,5.507075491,6.568814884,2.803472636,4.803740031,7.704434653,8.177811967,5.581949353
hsa-let-7c-3p,-0.183211606,-7.7235991,-2.045670619,-6.727163539,-1.737008462,2.708723001,2.96896758,1.504440191,3.742027931,2.108033717,0.534547044,-3.642873044,-0.028012587,-0.519064167,-0.521745099,-1.107687108,-6.822130843,-6.523421475,-7.189659905,-5.307651214,-6.919662685,-10.32857358,-10.17019212,-10.27550847,-10.16901569,-5.429100354,-6.135710918,-5.288717266,-5.625777547,-9.911337288,-7.18699594,-10.7908123,-10.72466864,-2.228677764,-7.629612767,3.619888177,2.01984829,-7.717284895,1.219809292,2.086651622,-2.588733165,-4.694636605,-5.489932567,-5.554070598,-9.075640343,-0.363367126,-8.544266324,-6.123390198,3.612076144,1.348634614,2.07694706,3.03291675,1.387929962,0.665919939,6.178798536,5.880598184,5.252342314,5.295521439,1.370465948,4.844868404,-6.791249405,-9.2053765,-7.738992714,-9.965631154,-8.77109396,-7.460244848,-6.408854841,-6.010904204,-7.322677567,1.622290789,0.576645752,2.044270544,0.739714878,1.573893272,2.341027078,0.906532372,2.649354252,0.746321782,1.207364838,3.28895804,2.727543397,4.335254231,-8.03183947,-8.253985803,-6.391505805,-7.173561921,-1.09893815,-3.050696082,0.209864621,-2.443013545,0.529136911,-7.322677567,-1.620907566,-7.465258912,-2.016453679,-2.356197583,-4.550064667,-5.106636495,-3.407287268,-3.170768821,-3.653884032,-3.888259222,-3.691525435,-3.14342725,-4.077703126,-3.298689482,-3.316499555,-3.247050626,-3.407287268,-3.081529636,-3.347165753,-4.546967952,-4.916754758,-4.697132731,-4.772117541,-4.304929701,-3.316499555,-3.865516488,-4.540204913,-4.277152717,-3.378771583,-4.451063187,-4.251302282,-3.613763837,-7.090417502,-7.036434553,-7.130436837,4.60935602,4.540516374,3.285594574,3.846491771,3.634109248,4.142561337,3.722082526,5.528680972,3.363976686
hsa-let-7d-3p,8.204034176,7.538280206,7.955503399,4.162540968,7.553825143,7.702609573,7.260612958,6.438099941,7.035155553,7.674739244,4.797680958,4.054332328,5.090489499,4.709647587,4.62421294,4.7234318,10.06053293,7.781606482,10.70499986,7.21279558,9.14249629,-10.32857358,-10.17019212,-10.27550847,-10.16901569,8.224652646,7.298764133,8.105284459,7.222114283,-9.911337288,-11.08486431,-10.7908123,-10.72466864,8.089180918,7.110668424,7.900776362,6.9899321,6.289076355,3.506943947,8.436358283,6.930514154,-10.90228056,-9.47229548,-10.42365061,-9.075640343,3.637146364,-11.85279286,-8.51240605,-0.080877998,1.781866282,3.290668203,3.859510388,6.192216164,6.570900214,10.78568072,10.83553723,11.36533517,9.090113658,9.111713604,9.800423163,-6.791249405,-0.332625041,-7.738992714,-9.965631154,-8.77109396,-7.460244848,-6.408854841,-6.010904204,-7.322677567,4.461574121,4.694259787,3.852433444,4.912050113,3.676643791,1.226092825,-1.044944196,-1.781822577,-2.163787577,-1.861290494,-0.2164836,-1.129381357,6.723603962,3.751169925,4.267142266,3.434286622,6.849597726,6.844926186,7.740119734,5.204742862,7.79830127,5.287222913,7.656666371,6.462739311,6.976633391,3.737232617,4.583472775,-4.550064667,3.484807131,4.142611219,1.135586229,3.518917172,5.179282899,3.714603328,2.312732228,5.238963664,2.604828458,2.16413993,1.710727877,2.085851208,0.365959862,3.764014039,5.690010526,6.576267312,6.160219417,5.8948979,4.400596123,2.16413993,5.08965805,5.823481077,4.891052114,1.594679522,4.963101619,5.013169388,-3.613763837,8.541375601,8.918472961,8.953897818,2.052458175,4.37609141,-0.254485608,1.020024791,2.184763302,1.999342613,4.96390436,5.611224058,1.45496552
hsa-let-7d-5p,11.00421392,11.86323766,11.67587612,11.38961225,11.58704752,10.49067182,10.01416407,10.14421793,10.1944203,10.62777902,11.07595727,10.67650944,11.39952654,10.74729681,10.55233531,10.60795794,14.88879272,15.61713546,15.92138983,13.5082648,15.320612,-2.445115249,-4.671648018,-1.782193978,-2.66435789,10.3955371,10.21976754,10.2558048,9.725583858,-3.134577941,-4.427588366,-3.652087899,-1.847676381,10.93600004,10.714874,10.92120965,10.01953025,16.76513037,6.73093236,10.99398414,10.67309968,-2.145251697,-3.680526378,-2.591980343,-4.252054995,8.421875443,-7.600572429,-1.032180534,7.24756107,6.431587172,8.586541851,9.352733072,10.70730838,11.16633176,12.02686071,12.05740966,12.4247524,10.67733731,9.673054643,11.49409465,-2.351326349,0.137043383,-2.658236655,-9.965631154,-0.17408559,-7.460244848,-6.408854841,2.195931912,1.997703286,8.053433965,8.443342124,6.716464694,8.474655178,2.411053988,1.624200737,5.774767672,5.187137804,5.092001144,4.996484536,4.69950944,4.735447833,9.998529134,6.904603911,8.182601291,9.407824027,10.71783239,9.893531521,10.53335958,9.731947127,10.79195731,9.959297176,10.6588504,9.872648082,10.93532818,10.7332,10.38870667,14.51065274,11.8652545,9.190446762,10.71897383,10.71321642,10.86358313,10.57776146,10.41605237,11.54060364,9.985016922,10.56459309,10.60110979,10.94894519,10.25956637,10.69593272,12.21675177,12.22454638,11.87448568,11.89272727,11.66812209,10.0816735,11.33926324,12.33847047,12.02332162,11.32410446,12.54458599,12.05805163,11.45919865,15.25135352,15.11971608,15.24912606,6.71461424,7.54424519,4.812414915,5.483731564,6.742624181,6.081667052,7.901138169,8.998158652,5.504367357
hsa-let-7e-3p,2.011055782,2.347435482,1.15003078,-6.727163539,1.430956061,3.487144459,1.719476424,1.659225952,2.067991964,3.471191483,0.158727108,-7.971283265,-0.436558026,-1.790160301,-0.25428192,0.027131673,-6.822130843,-6.523421475,-7.189659905,-5.307651214,-6.919662685,-4.097819177,-10.17019212,-5.908341647,-10.16901569,1.883220624,1.07403917,1.91647392,1.399852044,-2.289517381,-3.112345183,-2.425987778,-2.315895206,2.240427165,1.234567883,5.228833358,3.500374835,-7.717284895,3.995306475,2.725799546,-1.874492672,-1.49409479,-0.668309927,-1.231373017,-9.075640343,0.74620139,-4.316320828,-1.104144232,0.782625816,2.108218274,2.404309153,2.953412847,4.503826894,4.188999562,6.68076913,6.734187887,7.080396803,6.105866879,3.464774451,5.424288934,-6.791249405,-0.508492683,-7.738992714,-9.965631154,-1.638354939,-7.460244848,-6.408854841,-6.010904204,-7.322677567,1.180484145,0.827348356,0.239311708,2.563369074,5.166326995,6.743395968,2.305630893,2.23143468,2.812667575,3.389526935,2.946550717,3.199447551,1.319771721,5.119549242,5.011712045,-6.391505805,2.752016246,3.477845527,4.645538413,2.221835985,3.31639876,2.515806208,4.519674797,2.922925804,1.397308572,-2.016453679,0.109801308,-4.550064667,-5.106636495,-3.407287268,-3.170768821,-3.653884032,-3.888259222,-3.691525435,-3.14342725,-4.077703126,-3.298689482,-3.316499555,-3.247050626,-3.407287268,-3.081529636,-3.347165753,-4.546967952,-4.916754758,-4.697132731,-4.772117541,-4.304929701,-3.316499555,-3.865516488,-4.540204913,-4.277152717,-3.378771583,-4.451063187,-4.251302282,-3.613763837,-7.090417502,-7.036434553,-7.130436837,1.700427431,2.745564956,2.15514317,3.757483113,0.893690376,1.532033307,2.029258667,2.212339532,0.852606255
hsa-let-7e-5p,12.21957396,13.76712881,13.30254149,11.98775298,13.18608502,11.84958072,11.44813261,11.06162155,11.56609677,11.50555511,12.89064635,12.42664006,13.20934064,12.29744307,13.11166958,13.19269835,9.112953785,9.851756369,10.7996289,5.451069206,9.406274295,5.234771592,5.431741374,5.475515429,5.272045276,11.29915468,11.43167085,11.42765331,10.84481216,8.690009067,7.450885062,8.408493866,8.149240652,12.08868394,12.36538356,12.84267533,12.34610377,6.617174592,11.60314049,11.45628987,11.4048077,9.432954118,9.587947111,9.851758809,8.510197158,8.554518429,4.338781933,6.375180499,7.985869925,8.052548476,9.497511032,10.0217425,10.19267421,10.67852849,13.89340825,13.87415188,13.63457104,12.39481868,12.6244624,12.58319827,9.740922207,11.49372198,10.9440181,11.959911,11.22335973,10.36637584,9.304648749,8.980166983,10.40821513,10.01365319,10.06683378,9.953778836,10.8673301,11.37338125,9.956299582,10.97102491,10.855784,11.08827772,10.99920087,11.08827787,11.02866151,11.10202578,12.28406788,12.77177226,11.20474845,12.80462965,12.40118088,12.59567933,11.36686241,12.69330028,11.38669394,12.77798024,11.49823808,12.96065146,12.6768897,12.54224006,-4.550064667,-5.106636495,-3.407287268,-3.170768821,-3.653884032,-3.888259222,-3.691525435,-3.14342725,-4.077703126,-3.298689482,-3.316499555,-3.247050626,-3.407287268,-3.081529636,-3.347165753,-4.546967952,-4.916754758,-4.697132731,-4.772117541,-4.304929701,-3.316499555,-3.865516488,-4.540204913,-4.277152717,-3.378771583,-4.451063187,-4.251302282,-3.613763837,5.285762316,4.658753881,5.49230368,11.45349953,12.18187436,12.04427472,12.83127431,11.21349336,11.30700839,11.47067279,12.06505136,10.08927375
hsa-let-7f-1-3p,-7.155541853,0.962792338,3.309418003,-6.727163539,0.645841578,4.041018248,-6.539434345,-7.523777657,1.33378001,4.536989809,-8.302839675,-7.971283265,-8.644361142,-8.299440234,-8.059734319,-8.025182699,-6.822130843,-6.523421475,-7.189659905,-5.307651214,-6.919662685,-10.32857358,-10.17019212,-10.27550847,-10.16901569,-10.65555313,-10.78866848,-11.23300081,-0.961875981,-9.911337288,-11.08486431,-10.7908123,-10.72466864,-7.347802253,1.234567883,-13.31755809,-11.94073571,-7.717284895,-6.613836228,3.940218762,-7.015841152,-10.90228056,-9.47229548,-10.42365061,-9.075640343,2.403293144,-11.85279286,-11.49482972,-4.753206875,-4.524327861,-3.03627552,-0.74462131,-0.1295041,-1.874511311,-9.129390821,-0.999409351,-8.004604563,-11.00834674,-11.63923646,-11.20122371,-6.791249405,-9.2053765,-7.738992714,-9.965631154,-8.77109396,-7.460244848,-6.408854841,-6.010904204,-7.322677567,-2.968492906,-2.853882646,-12.07778874,-3.107887755,-10.05065709,-8.911020072,-8.263335798,-10.01991026,-10.27954276,-9.195236028,-8.964619742,-10.16284336,0.230634649,-8.03183947,-8.253985803,-6.391505805,2.273710237,-7.680499939,-7.443140999,-7.367595463,2.71937174,4.559228638,-7.322677567,3.587270095,-7.465258912,-7.149893927,2.792716452,-4.550064667,-5.106636495,-3.407287268,-3.170768821,-3.653884032,-3.888259222,-3.691525435,-3.14342725,-4.077703126,-3.298689482,-3.316499555,-3.247050626,-3.407287268,-3.081529636,-3.347165753,-4.546967952,-4.916754758,-4.697132731,-4.772117541,-4.304929701,-3.316499555,-3.865516488,-4.540204913,-4.277152717,-3.378771583,-4.451063187,-4.251302282,-3.613763837,2.932672354,3.081680574,2.998191856,-12.31351213,-10.14846207,-10.89277283,-11.44660096,-10.87285732,-6.667369898,-10.52454327,-2.745064123,-7.056241221
