miRNA,SRR5127209,DRR041368,SRR5755916,SRR5755923,DRR041467,SRR7062776,SRR7062777,SRR7062778,SRR7062779,SRR7062780,SRR7062781,SRR1664893,SRR1664894,SRR1664895,SRR1664896,SRR5755902,SRR5755909,SRR5756067,SRR1044598,SRR1664897,SRR5756074,SRR5756081,DRR041517,DRR041536,DRR041511,SRR5756000,SRR5756007,SRR5756088,SRR5756102,SRR5127232,SRR5128192,SRR5128189,DRR041575,SRR5127234,DRR041493,DRR041447,SRR1988299,SRR1988300,SRR1988301,SRR1988302,SRR1988303,SRR1988304,SRR1988305,SRR1988306,SRR3199257,SRR3199258,SRR3199259,SRR3199260,SRR3199261,SRR3199262,SRR1988291,SRR1988292,SRR1988293,SRR1988294,SRR1988295,SRR1988296,SRR1988297,SRR1988298,DRR041473,SRR5756109,DRR041355,DRR041527,SRR5833905,SRR5833903,SRR5833902,SRR5833904,SRR5127214,SRR7545527,SRR7545529,SRR6283108,SRR6283109,SRR8478257,SRR5755825,SRR5256882,SRR5256883,SRR8478258,SRR8478259,SRR5755895,DRR041534,SRR5755958,SRR5755972,SRR5755986,SRR7545528,SRR5128191,SRR5128194,SRR5128190,SRR5128193,SRR5755930,SRR5755937,SRR5755944,SRR5755951,DRR041554,DRR041487,SRR5256874,SRR5256875,SRR5256876,SRR5256878,SRR5256879,SRR5256880,SRR5256881,SRR5755860,SRR5755965,SRR5755979,SRR5755993,SRR3199254,SRR3199255,SRR3199256,SRR5756060,SRR5756095,SRR3996364,SRR3996365,SRR3996366,SRR3996367,SRR3996368,SRR3996369,DRR041393,DRR041422,DRR041436,DRR041443,DRR041450,DRR041470,DRR041504,DRR041530,DRR041578,DRR041592,DRR041616,DRR041620,SRR1777161,SRR1777162,SRR1777163,SRR1777164,SRR1777165,SRR1777166,SRR1777167,SRR1777168,SRR1777169
hsa-let-7a-2-3p,74,21,0,0,28,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,7,19,0,0,0,0,0,16,25,5,28,7,9,0,0,0,0,0,0,0,0,11,14,10,51,3,6,0,0,0,0,0,0,0,5,19,0,3,25,33,28,17,22,102,0,0,0,0,37,0,0,0,19,16,0,7,0,0,0,0,10,24,16,16,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,7,6,7,10,3,0,11,34,0,6,8,7,4,3,0,0,0,6,21,16,9,33,3,18,2,32,19
hsa-let-7a-3p,4104,87,0,0,158,36,66,49,44,37,0,9,0,13,0,2,4,0,0,5,7,5,240,76,244,3,0,2,2,13,270,124,58,977,278,172,0,0,0,0,0,0,0,0,439,239,329,1094,347,128,0,0,0,0,57,53,84,96,304,0,37,85,370,370,595,244,2087,64,56,0,0,753,8,0,0,87,135,0,21,0,0,7,71,78,93,97,38,0,0,0,0,47,216,0,0,0,0,0,0,0,0,0,3,12,4273,38,1180,3,0,221,142,245,209,219,217,132,335,49,94,99,265,72,141,103,22,36,56,480,215,100,273,194,358,144,1446,627
hsa-let-7a-5p/7c-5p,1699260,44924,2820,1819,46448,8442,16520,18191,10914,10390,18424,185407,264211,436999,36918,2443,2861,3964,25846,206237,9098,7371,79800,115784,41012,5754,4105,3500,5461,309009,177361,229734,78156,457102,76261,88529,1189,1039,1435,1269,1937,1026,1918,529,16308,19858,32471,92643,53325,65212,218,202,253,243,37138,42572,52905,44220,76684,2994,14389,39947,79551,66912,71936,45225,436097,83593,115702,7243,1489,158757,7637,115,372,5020,12122,2047,48593,2413,2323,8274,109609,147399,155704,279546,123804,5088,1466,1905,2018,95664,46536,192,1651,662,3129,1092,394,127,1055,1894,7435,6215,64686,532,13128,1416,9922,69854,51463,104269,66123,64630,73972,76592,114754,25346,31320,40041,53856,24526,172176,135609,68402,37758,161286,91654,30198,28131,54422,24187,51239,24475,175268,66338
hsa-let-7b-3p,0,0,0,0,0,0,0,0,0,0,0,14,0,35,0,0,0,0,0,4,0,3,0,0,208,0,0,0,0,5,373,501,0,0,0,309,0,0,0,0,0,0,0,0,0,8,0,74,91,47,0,0,0,0,0,0,95,82,0,0,0,220,0,24,47,0,0,86,71,6,0,232,0,0,0,0,0,0,22,0,0,3,63,477,120,634,0,0,0,0,0,96,207,0,0,0,0,0,0,0,0,0,0,6,492,0,13,0,2,33,23,41,39,0,0,0,659,76,129,197,308,81,392,261,33,0,0,0,0,0,0,0,0,0,59,0
hsa-let-7b-5p,112433,1389,586,269,5964,0,0,11,8,7,8,40687,48439,79923,11319,442,613,609,7886,44670,2218,1179,11980,13277,4276,897,533,942,1019,62305,16833,32213,7984,5150,11847,14939,0,0,0,0,0,0,0,0,332,562,390,4509,6203,6563,8,7,0,0,1793,1858,2271,2050,12867,498,3636,4811,4293,4659,5077,1984,54342,65153,65807,323,329,33636,1889,0,10,187,357,543,1404,536,232,1916,62551,36687,4169,50597,9402,655,295,383,344,8909,5354,0,0,0,75,0,0,0,332,405,1113,1411,14758,34,675,252,2018,8460,3840,7382,4085,3956,3560,17629,14238,3768,4377,6237,7966,1933,29531,22591,12017,3294,28893,654,324,336,736,113,422,761,3365,1257
hsa-let-7c-3p,1161,22,0,0,7,18,70,40,29,57,77,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,327,201,4,662,4,0,0,4,0,0,9,3,5,0,143,97,95,341,74,40,0,0,0,0,6,5,9,10,3,0,0,5,95,101,168,183,164,0,0,48,39,446,0,0,0,0,0,0,3,0,0,0,0,88,302,213,106,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,134,4,8,0,0,16,3,15,11,10,8,8,55,21,17,40,28,4,0,5,0,0,5,586,155,137,234,155,323,134,973,513
hsa-let-7d-3p,7537,349,11,5,159,9,15,15,10,16,20,711,170,1233,87,10,22,21,0,411,36,22,208,157,76,40,18,4,23,125,2090,2623,55,1518,241,134,0,0,0,0,0,0,0,0,38,113,149,468,489,405,0,0,0,0,1064,713,1366,1073,226,0,24,118,452,464,489,360,1239,307,394,105,26,1239,16,0,0,48,64,3,132,5,10,57,374,2545,3623,3275,3083,24,6,5,4,35,69,0,17,0,0,0,0,0,12,2,34,44,551,0,3,5,24,81,53,104,78,69,71,261,462,132,125,165,293,262,225,277,36,177,205,221,145,39,83,90,144,221,1008,256
hsa-let-7d-5p,47564,1745,375,284,851,121,191,207,124,100,169,16846,24580,37444,4288,406,483,661,6446,23025,1584,1186,1250,1580,848,1267,944,563,1204,79969,5799,6029,1095,5847,1474,1237,9,11,12,21,21,6,14,4,677,721,1592,6277,6002,5718,14,6,17,12,3987,3800,4969,4299,1197,663,407,743,2380,2626,2468,1207,6699,23287,23565,65,30,7474,1380,13,19,185,378,351,1139,441,365,1651,20996,5148,11195,7428,4363,808,224,331,332,1240,689,3,20,4,0,15,0,0,140,251,1465,1223,4687,6,43,240,1764,2331,1582,3288,1866,1502,1540,1491,2419,629,950,984,1707,1519,3219,2831,1678,1441,2421,1451,587,251,457,574,727,841,5325,1216
hsa-let-7e-3p,2219,28,0,0,38,30,60,84,65,50,92,0,0,0,0,0,0,0,0,0,0,0,51,16,25,0,0,0,0,0,464,252,10,1835,34,24,12,17,18,18,26,17,22,0,51,127,107,331,239,147,8,0,4,0,72,58,100,102,56,0,0,27,181,110,144,98,284,0,0,192,238,145,0,0,0,84,87,0,4,0,0,0,0,199,385,312,228,0,0,0,0,4,21,0,16,0,0,9,0,0,0,0,0,0,194,19,42,0,0,14,0,13,7,11,12,18,74,13,18,21,47,21,25,16,0,16,16,195,77,90,226,57,122,71,265,208
hsa-let-7e-5p,170327,2382,0,0,4526,2141,4005,5280,3109,3014,4803,391,563,1314,39,0,0,0,0,483,0,0,5123,6052,2201,0,0,0,0,145,18271,20220,4611,102708,5228,4958,966,901,1260,1059,2432,1372,2486,616,978,1573,2733,9609,4259,4118,225,227,243,212,7315,8564,10905,9004,4739,0,1329,2199,10679,7032,7865,7095,31632,65,72,5754,1388,15603,0,278,1057,4739,7059,0,1864,0,0,0,49,11253,23034,24113,30914,0,0,0,0,4527,2044,572,4354,1746,8197,3064,1077,384,0,0,0,0,5043,371,695,0,0,7761,5094,10815,5263,8203,8537,3361,6023,1642,1755,2469,3081,3288,11102,8215,2503,4344,6918,23239,10317,13620,31316,7731,14018,7687,39546,13323
