Run,SRA,Model,Assay,LibrarySelection,Class,Part of microRNAOme 1,CellType,batch used in the normalization approaches,group used in the normalization approaches,Total_reads,Total Filtered reads,Trimmed Reads (unique),All_miRNA_Reads,Filtered_miRNA_Reads,Unique_miRNAs,Hairpin miRNAs Reads,mature tRNA Reads,primary tRNA Reads,snoRNA Reads,rRNA Reads,Other ncRNA reads,mRNA Reads,Remaining Reads,Experiment,BioProject,Sample,BioSample,CenterName,DOI,PMID
DRR041393,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2301241,1301555,71989,725013,722561,469,256,56893,2675,91570,270680,41027,28084,85357,DRX037027,PRJDB2675,DRS007996,SAMD00004870,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041530,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,3782536,3563881,117085,2292242,2290147,512,1413,725570,6806,74044,269459,49651,12448,132248,DRX037164,PRJDB2675,DRS007988,SAMD00004950,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041578,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2906968,2713616,101261,1851235,1848312,508,1150,459383,7891,58615,181732,37776,13487,102347,DRX037212,PRJDB2675,DRS007989,SAMD00005945,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041592,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2010240,1917859,104623,934069,932221,418,482,564743,4046,31991,173070,93572,11904,103982,DRX037226,PRJDB2675,DRS007994,SAMD00004865,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041620,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2925215,2736780,110066,1870453,1868037,488,2569,293625,9718,122136,240101,73440,27193,97545,DRX037254,PRJDB2675,DRS007995,SAMD00005509,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041422,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Brain,No,Astrocyte,159,3,4683951,4216823,197908,1720400,1709915,699,3614,204573,17203,167252,1572823,158121,35374,337463,DRX037056,PRJDB2675,DRS008005,SAMD00005763,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041436,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Brain,No,Astrocyte,159,3,665435,530063,45319,268588,266584,421,585,25036,2561,18733,134342,22558,5200,52460,DRX037070,PRJDB2675,DRS008008,SAMD00004792,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041443,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Brain,No,Astrocyte,159,3,1904603,1682841,110161,467112,463349,530,1517,51194,4324,54785,851619,61529,18009,172752,DRX037077,PRJDB2675,DRS008009,SAMD00005749,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041450,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Brain,No,Astrocyte,159,3,1839082,1621037,88713,593925,592148,513,1067,64047,4099,64186,716728,56672,11099,109214,DRX037084,PRJDB2675,DRS008007,SAMD00004940,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041470,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Brain,No,Astrocyte,159,3,3253668,2750480,179104,914005,908797,623,2605,123504,10586,97052,1188458,106045,31348,276877,DRX037104,PRJDB2675,DRS008010,SAMD00005736,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
