miRNA,DRR041393,DRR041530,DRR041578,DRR041592,DRR041620,DRR041399,DRR041408,SRR1664893,SRR1664894,SRR1664895,SRR1664896,SRR1664897,SRR1988283,SRR1988284,SRR1988285,SRR1988286,SRR3199263,DRR041351,DRR041354,DRR041539,DRR041551,DRR041568,DRR041374,DRR041388,DRR041438,DRR041594,SRR5195030,SRR5195032,SRR5195033,SRR5195034,SRR5200942,SRR5200943,SRR5901590,SRR5901591,SRR5901592,SRR5901584,SRR5901585,SRR5901586,SRR8550262,SRR8550263,SRR8550264,SRR8550265,SRR8550266,SRR8550267,SRR8094756,SRR8094757,SRR8094758,SRR4176816,SRR4176817,SRR4176818,SRR4176819,SRR4176820,SRR4176821,SRR4176822,SRR4176823,SRR4176824,SRR4176825,SRR4176826,SRR4176827,DRR041615,SRR1616136,SRR1690966,SRR1690998,SRR1690999,SRR1691000,SRR1691001,SRR1691002,SRR1691003,SRR1691004,SRR1691005,SRR363673,SRR363674,SRR363675,SRR363676,SRR6696824,SRR6696825,SRR6696826,DRR041380,DRR041587,DRR041602,DRR041544,DRR041558,DRR041571,SRR8417876,SRR8417877,SRR8417878,DRR041401,DRR041608,DRR041622,DRR041367,DRR041424,DRR041628,DRR041395,DRR041410,DRR041458,DRR041477,DRR041349,DRR041358,DRR041564,DRR041580,DRR041514,DRR041504,DRR041616,SRR5127205,SRR5127206,SRR5127220,SRR5127225,SRR5127226,SRR5127227,SRR5127231,SRR5127232,SRR5127236,ERR1517157,ERR1517159,SRR5647649,SRR5647650,SRR5649832,SRR5649833,DRR041355,DRR041447,DRR041467,DRR041473,DRR041487,DRR041493,DRR041511,DRR041517,DRR041527,DRR041536,DRR041554,DRR041575,SRR1044598,SRR5755825,SRR5755860,SRR5755895,SRR5755902,SRR5755909,SRR5755916,SRR5755923,SRR5755930,SRR5755937,SRR5755944,SRR5755951,SRR5755958,SRR5755965,SRR5755972,SRR5755979,SRR5755986,SRR5755993,SRR5756000,SRR5756007,SRR5756060,SRR5756067,SRR5756074,SRR5756081,SRR5756088,SRR5756095,SRR5756102,SRR5756109,SRR7545527,SRR7545528,SRR7545529,SRR11835803,SRR11835804,SRR11835805,SRR11835806,SRR11835807,SRR11835808,DRR041383,DRR041377,DRR041523,DRR041566,SRR948071,SRR948072,SRR948073,SRR948074,SRR948075,SRR948076
hsa-let-7a-3p,6.830302865,6.551014973,5.854956375,2.924584375,4.655738842,-5.791229123,-5.605407452,0.468541018,-6.523421475,1.103476751,-5.307651214,-1.197484768,6.655523693,6.733247752,6.776665435,6.853585711,9.175677477,3.914107683,1.578233449,4.245869163,2.45860049,2.328233655,-6.580965782,6.214060995,5.474741197,-0.644139156,8.314869726,8.481303124,5.73789965,8.590730077,5.195023595,1.42230568,7.407808119,6.639082649,7.369530744,6.734550205,7.01253395,7.404030014,8.885862925,8.716441949,8.909056795,8.537849455,7.857564966,8.732369454,8.524826904,7.783420442,7.362996802,9.121499389,9.351594013,9.36543084,9.36980042,9.23381769,9.390828627,9.009403971,8.714621249,9.088540041,9.22640405,9.224098825,9.15406478,1.220248471,-3.50296327,9.016184115,8.922170316,7.818920963,7.197131367,6.506030246,8.991054199,7.867177897,7.25503304,6.328407504,8.422636584,9.18001545,8.797799651,6.404754783,6.784354676,6.932121775,7.711648299,7.032390674,3.124195634,1.973005468,1.585211073,2.084334708,2.472188316,7.843998549,7.919407549,8.003401597,6.571783931,-0.082244088,4.183553333,7.240697674,7.091975615,2.141795649,6.609404587,5.22578819,6.359086145,-5.200847831,4.923805211,7.663992658,3.636060464,2.823029097,6.734718097,5.320380738,3.385871483,8.458259721,8.766348606,5.538021873,8.198800822,7.922098059,9.289617936,7.740681526,0.574342708,7.870334523,5.633797741,6.913348054,8.465991332,5.574073931,8.465991332,5.574073931,4.500747769,7.374030017,6.831346962,8.307002464,7.701425673,8.074313803,7.821628232,7.937525127,5.72440084,5.352452426,4.464890747,4.711685716,-4.550064667,1.750317668,-3.407287268,-3.170768821,-0.168819566,1.141115953,-3.691525435,-3.14342725,-4.077703126,-3.298689482,-3.316499555,-3.247050626,-3.407287268,-3.081529636,-3.347165753,-0.130684275,1.582325361,3.111724077,-0.343509579,-4.304929701,1.004004759,-3.865516488,1.913155997,1.322760673,0.08916508,-4.451063187,-0.735488341,-3.613763837,5.249482323,5.533212631,4.902181991,6.310829273,4.365918296,4.84139348,5.863053455,6.584709774,6.164102885,6.072241712,5.422869292,5.387421706,1.749833295,7.02440284,7.449761978,6.568032544,7.079266372,7.409084248,7.226491011
hsa-let-7a-5p/7c-5p,16.9714161,17.78269474,17.4838445,17.01032971,17.82589673,15.12798823,15.14004849,18.23049736,18.71454455,18.99200157,16.77961406,18.31412157,16.48203084,16.29417771,16.24745442,16.33302168,15.91390087,14.65610754,15.81713509,16.86512284,16.17771689,15.65567741,15.15399859,16.32165033,15.58193479,15.69060376,17.70700963,18.46811086,17.89467857,18.18775796,18.27013917,16.71847543,11.18645323,10.79860409,10.96831651,13.68041122,13.61469701,13.80787089,15.95207903,15.96169443,16.09956019,16.26183038,15.69616763,16.42566522,16.06872856,15.07391146,15.64815602,17.248042,17.41116941,17.41496255,17.56926855,17.33863673,17.21117784,16.50483012,16.50167565,17.31305253,17.07861171,17.21142423,17.25967186,15.65785302,16.61392111,16.00930623,15.17903664,13.65148398,12.28438857,12.55117586,15.19107673,13.75040207,12.32311037,12.5396292,17.16807933,16.95589591,16.37478441,15.05338047,17.63289768,17.61194697,18.10921739,16.43754893,17.18958434,15.49483669,16.14419311,14.97269692,16.00896357,17.00910322,17.14758467,17.22414956,15.32737606,14.69624988,17.20325175,16.7459712,16.62148427,16.27631783,16.32969426,15.51268711,15.78341658,13.85585389,15.29976977,16.45499851,16.39687535,16.13236844,15.27818634,15.19857536,15.70982781,16.81412209,16.91147693,15.06886172,16.3175259,17.11799385,17.52411249,17.84967425,18.46230331,16.27288146,14.22921597,15.46262974,17.95805843,17.28190888,17.95805843,17.28190888,14.86107915,17.16145702,15.99422276,16.83831147,16.15550648,16.78196322,15.8773318,16.9506279,15.9513532,17.38866141,17.27635654,16.8544088,16.60675116,14.50641701,12.25189321,13.38470435,13.42792604,13.56162155,13.63371421,13.21411854,14.36903182,12.80600877,13.20279319,13.32577224,13.52726568,13.30672109,13.49692087,14.73393333,14.72244496,14.38310841,14.22682429,13.92486211,12.7441401,14.08165179,15.04944875,14.8495069,14.12155349,15.22518724,14.39592063,13.76461992,17.12118174,17.50504767,17.53459509,12.13863376,10.49612069,10.82302725,11.99395854,12.38853374,12.17182573,15.24813108,15.91996043,15.06890477,15.52683593,17.69729571,17.69756099,17.83542859,17.8545033,17.82551863,17.79367103
hsa-let-7b-3p,-7.155541853,8.593474674,7.839974453,3.948124705,-7.430910217,5.665039499,3.864251902,1.653816392,-6.523421475,3.702959378,-5.307651214,-1.773491623,7.337528097,6.669075854,6.562438855,6.498562187,5.759895927,5.010260458,3.807801967,-7.083097553,5.613550986,5.111063712,-6.580965782,-7.104206558,5.974929682,-6.37390943,-9.201608994,-9.176391548,-8.877547537,-8.326522039,-9.162048005,8.110882359,-10.04674714,-10.63985925,-10.39013056,3.206265892,2.128367874,3.011139695,6.95759297,7.01810442,7.110812795,6.59035149,6.460500001,6.474397584,9.072368545,5.096116859,5.781142399,-10.79952022,-10.93218272,-10.93753205,-10.52508517,-10.72181462,-10.27238974,-11.5958783,-10.99719661,-11.11848241,-11.09981579,-11.27004177,-10.79101745,-7.069340742,-3.50296327,-13.1237432,-12.71329041,5.396984128,3.142126525,0.47589607,-12.68679136,5.539617328,2.984703804,-0.031264178,8.73954049,9.969225774,8.239487682,5.834141838,8.4529075,8.423794276,8.990929941,7.568668457,-6.359156946,4.438519916,2.716417558,2.362729673,-6.808690128,8.962215901,9.208026433,8.783064026,-7.392968723,-5.216186289,3.976710225,-7.036307304,-7.671496167,-6.851044062,7.589796785,5.398900471,-7.199476096,-5.200847831,5.880307322,7.381520052,-6.502911441,6.641342456,7.379841549,5.593851266,-7.629612767,-11.19736837,-11.20248162,4.408201983,-11.61782206,-11.84449491,-11.08187334,-9.729183978,-2.049496748,7.729187939,8.091455989,8.42156548,-10.60300669,11.05285539,-10.60300669,11.05285539,-6.391505805,8.50306542,-7.680499939,-7.443140999,7.616608767,-7.544586872,7.503589591,-7.322677567,7.767797356,-7.465258912,6.133381165,-7.465258912,-4.550064667,-5.106636495,-3.407287268,-3.170768821,-3.653884032,-3.888259222,-3.691525435,-3.14342725,-4.077703126,-3.298689482,-3.316499555,-3.247050626,-3.407287268,-3.081529636,-3.347165753,-4.546967952,-0.481200454,1.393798424,-4.772117541,-4.304929701,-3.316499555,-3.865516488,-4.540204913,0.12207161,-3.378771583,-0.927102516,-4.251302282,-3.613763837,5.930336211,5.255223385,5.45989132,3.629687916,1.414015936,-4.613811244,3.146277982,3.460385509,3.178904938,6.355029887,5.422869292,5.00180996,-6.719005639,8.696521246,8.182983493,8.06157313,8.185877074,8.353289974,8.44647875
hsa-let-7b-5p,14.78842154,15.2864268,14.87888923,14.412389,15.40651428,12.34988251,12.35175575,16.22491499,16.61874384,17.01443643,15.0195014,16.31482726,11.64105312,11.55646873,11.45727665,11.48054713,13.95063548,11.6237749,13.0270966,13.44409413,12.60615514,12.32651316,15.19614822,12.70400344,11.95889307,11.37904733,14.52988141,16.835612,14.30600236,16.41982036,17.34707302,14.73487635,-2.246553658,-3.659907694,-4.57557294,8.875820737,8.653909503,8.744053737,14.72837331,14.74142226,14.91943554,14.81179123,14.4187625,14.73089112,15.32451945,12.52668529,12.84740288,14.98241313,14.92701935,15.15781921,15.12083086,15.21044034,14.89660776,14.37085405,14.43364492,14.99588931,14.85532901,14.93441465,15.0097541,10.0889255,16.70594149,16.09690237,13.21811051,12.06859029,11.17139526,10.38660437,13.22390723,12.16191554,11.20471413,10.34159671,13.97274452,14.60113427,12.98411854,11.93358588,14.77886755,15.27540939,15.75837566,12.95464361,13.60763301,10.67992063,11.15038173,9.807267785,11.45023268,13.34167662,13.68394648,13.79383285,10.76208944,10.05956004,12.62436988,13.16892066,12.8161999,12.37675605,12.76800587,10.78161696,11.55245447,9.891902012,12.89167607,13.02994894,12.49435197,12.84592793,12.19517672,11.29380652,11.94663656,14.15344681,13.73159367,10.21489444,12.99908801,13.38756207,14.7070588,15.54212546,16.40769967,12.55050702,13.79677894,14.74089065,16.99415846,15.43719939,16.99415846,15.43719939,12.72139898,14.52190354,12.82412573,14.14768909,12.82256771,13.96477895,12.38505643,14.09982528,12.68134934,14.18490337,13.72779968,13.39095443,14.82375029,12.33954638,10.527206,11.36593036,10.83932906,11.21696134,11.24018689,10.33476492,11.22858112,10.40090531,10.78149782,10.65392826,11.23810354,10.97218997,10.01563068,11.80273529,12.45091314,12.08975785,11.37699787,10.81892663,10.15561764,11.21765753,12.85411909,12.01440188,12.09381451,12.75094052,11.80725027,11.03453991,16.77582222,16.74358607,16.77112651,10.89253818,8.846241066,9.145155765,10.58613482,11.02731298,10.85255481,11.90449661,12.41549785,11.0557967,11.32836491,13.44469917,13.32624342,13.28105259,13.43770499,13.31012637,13.30623172
hsa-let-7c-3p,-0.183211606,-7.7235991,-2.045670619,-6.727163539,-1.737008462,-2.245926993,-5.605407452,-6.822130843,-6.523421475,-7.189659905,-5.307651214,-6.919662685,-3.584490541,-3.271050848,-4.68343776,-2.356429934,-0.475448938,-6.051848696,-5.939977016,-1.367566438,-6.666680313,-6.645700353,-6.580965782,0.73396795,-1.770191228,-2.841604342,-9.201608994,1.830908961,-8.877547537,0.678979187,-1.819121462,-6.857874523,2.728907498,1.944060842,2.998212919,-1.355667601,-3.306175394,-1.48020706,1.369830147,2.72694696,2.032652293,5.629444427,4.888389047,6.66667413,3.010710105,0.188123547,1.743737526,-0.790796023,1.265661312,0.349296287,1.695419374,-0.05801872,1.336973327,-0.536941178,0.591136975,-1.051450963,0.577187702,-2.032345905,0.969428571,-0.45651928,-3.50296327,-3.166446124,-2.239325222,-4.616787619,-5.417447651,-2.345181175,-2.852540225,-5.161247957,-2.577270514,-2.610051064,-1.985699815,-3.660702698,-7.970240312,-7.767465888,-2.07800074,-3.016928224,-1.764326941,-6.778333752,-6.359156946,-6.02829539,-7.090417502,-7.077054732,-6.808690128,-4.446878624,-3.084828158,-3.350561324,-3.928199685,-5.216186289,-7.660831129,-1.31865287,-0.396551023,-6.851044062,-6.595453188,-2.749610614,-7.199476096,-5.200847831,-6.164357729,-3.823655365,-6.502911441,-3.47114618,-3.584387193,-2.228677764,-7.629612767,2.476908825,1.732656244,-2.264442628,1.714984307,3.564595047,1.49767958,-1.376138262,-7.717284895,-2.37787867,-7.332972113,-1.554419896,-1.24751496,-3.162386711,-1.24751496,-3.162386711,-6.391505805,-7.173561921,-1.09893815,-3.050696082,0.209864621,-2.443013545,0.529136911,-7.322677567,-1.620907566,-7.465258912,-2.016453679,-2.356197583,-4.550064667,-5.106636495,-3.407287268,-3.170768821,-3.653884032,-3.888259222,-3.691525435,-3.14342725,-4.077703126,-3.298689482,-3.316499555,-3.247050626,-3.407287268,-3.081529636,-3.347165753,-4.546967952,-4.916754758,-4.697132731,-4.772117541,-4.304929701,-3.316499555,-3.865516488,-4.540204913,-4.277152717,-3.378771583,-4.451063187,-4.251302282,-3.613763837,-7.090417502,-7.036434553,-7.130436837,-6.280063327,-4.674446226,-4.613811244,-6.187870767,-6.598983854,-6.149346859,-0.80420172,1.32443848,0.286650367,-0.991522112,-3.89389362,-3.83900927,-7.130436837,-2.878286869,-7.290437595,-7.332972113
hsa-let-7d-3p,8.204034176,7.538280206,7.955503399,4.162540968,7.553825143,9.109245585,8.155824535,10.06053293,7.781606482,10.70499986,7.21279558,9.14249629,8.525766597,8.7935639,8.636440763,8.652149881,2.267579716,2.849369382,1.826041115,5.962103739,4.642897732,5.405990852,11.12726104,7.138426133,5.292997686,6.766079272,9.111588683,9.398241411,8.886439076,9.446357928,9.41788115,9.783859608,-2.484242439,-2.729020604,-2.761976649,9.483424823,9.119456979,9.638739362,7.96485377,8.042372069,7.99582104,7.434109269,7.558695459,7.491304263,8.630291928,8.770089972,8.55892507,7.819799405,8.391867037,8.318241052,8.221654602,8.509313992,8.870827969,8.140459263,8.50395985,8.321807165,8.721844336,8.250852556,8.727920041,7.077140236,-3.50296327,7.914118853,5.991565989,7.605087625,5.910668115,3.819365273,5.77209621,7.7605423,5.995144077,3.960743398,8.453664197,9.101268807,8.805019135,8.09771595,7.921858002,8.464148175,8.544637244,6.138646773,4.885517549,5.905623681,5.491188767,5.223147323,6.99457882,7.974178286,7.379933486,7.486385033,6.96029371,2.879282808,6.02550561,7.143655376,7.444636675,5.542538551,5.836525037,7.080698269,7.985173017,8.367205427,3.036201445,5.486165292,3.814078137,6.612379942,7.086285509,8.089180918,7.110668424,7.091279639,7.747271608,7.984653712,7.416783938,8.193568915,7.055234229,7.78075343,6.289076355,7.137450314,6.650620583,6.238368222,11.81907675,9.303545611,11.81907675,9.303545611,3.434286622,6.849597726,6.844926186,7.740119734,5.204742862,7.79830127,5.287222913,7.656666371,6.462739311,6.976633391,3.737232617,4.583472775,-4.550064667,3.484807131,4.142611219,1.135586229,3.518917172,5.179282899,3.714603328,2.312732228,5.238963664,2.604828458,2.16413993,1.710727877,2.085851208,0.365959862,3.764014039,5.690010526,6.576267312,6.160219417,5.8948979,4.400596123,2.16413993,5.08965805,5.823481077,4.891052114,1.594679522,4.963101619,5.013169388,-3.613763837,8.541375601,8.918472961,8.953897818,5.478728985,1.79590046,3.375835134,5.17620103,5.055145288,5.154163293,6.310587148,6.747156325,7.261457189,5.710797894,5.923584779,6.489639561,6.586831595,6.273793785,5.905092268,6.06303672
hsa-let-7d-5p,11.00421392,11.86323766,11.67587612,11.38961225,11.58704752,9.34877883,9.212135115,14.88879272,15.61713546,15.92138983,13.5082648,15.320612,10.83075539,10.66468635,10.61363464,10.66442335,12.1476085,7.794608537,8.802356326,10.40899283,9.67050173,9.290280821,9.714158715,10.03789873,9.377625405,10.68143563,12.05738738,12.31919177,12.53055084,12.27060099,13.24745937,11.5518831,6.284101477,4.801985754,6.129029565,13.05086109,12.95788684,13.1458787,10.93549512,10.86354447,10.87914682,10.63007547,10.24574727,10.7983638,10.51177826,10.56609481,10.63333294,11.55152504,11.799106,11.81594578,11.93138721,11.8361022,11.9949974,11.92401938,11.83685336,12.089248,11.80941708,11.87462738,11.98046978,10.36899495,8.684364942,11.85721395,12.28995561,10.72302376,10.0363044,10.53478485,12.31789724,10.85183006,10.06026901,10.55897053,10.30192546,10.91858797,8.661169865,8.355494317,11.54851303,11.54044138,11.8849861,9.839748596,10.17129414,10.04286407,10.63490206,9.62554552,10.44150531,11.2845963,11.31106899,11.26264866,10.01913666,9.023171056,11.14740831,10.28350086,10.71185923,9.833118628,9.401259,9.996331679,10.41540573,9.140363936,9.031698353,9.843558534,9.975244263,10.31831464,10.00734977,10.93600004,10.714874,10.46576841,10.56364513,10.53102107,10.4539267,11.24197322,10.50372507,11.21225403,16.76513037,9.53054284,10.04099283,-7.712679421,12.21648986,11.3095631,12.21648986,11.3095631,9.407824027,10.71783239,9.893531521,10.53335958,9.731947127,10.79195731,9.959297176,10.6588504,9.872648082,10.93532818,10.7332,10.38870667,14.51065274,11.8652545,9.190446762,10.71897383,10.71321642,10.86358313,10.57776146,10.41605237,11.54060364,9.985016922,10.56459309,10.60110979,10.94894519,10.25956637,10.69593272,12.21675177,12.22454638,11.87448568,11.89272727,11.66812209,10.0816735,11.33926324,12.33847047,12.02332162,11.32410446,12.54458599,12.05805163,11.45919865,15.25135352,15.11971608,15.24912606,6.649493346,5.069997125,3.375835134,6.80683107,6.81535165,6.855905925,9.773992936,10.19293021,10.3552862,10.37093365,10.19385846,10.22595746,10.29810295,10.29340788,10.20232001,10.2311812
hsa-let-7e-3p,2.011055782,2.347435482,1.15003078,-6.727163539,1.430956061,1.712343821,0.960332271,-6.822130843,-6.523421475,-7.189659905,-5.307651214,-6.919662685,4.130920367,4.658252122,4.173161288,4.003445989,1.714547762,-0.890996746,-5.939977016,0.496041504,-0.938308514,-0.917028311,1.681177093,2.059049391,-6.227996693,0.587978054,6.55554871,7.092475049,6.037248725,6.896477182,7.607540259,5.033593253,3.800058537,3.413075863,2.503852656,5.079874889,5.115234648,5.412925237,4.589181479,4.545143369,4.042395741,3.927142623,3.457605657,3.436946244,6.444834775,5.385382779,5.071530213,4.58941885,6.30865389,4.763436937,6.356245608,5.364548476,6.474203931,5.009282745,6.341510815,4.61379476,5.772466307,5.096611074,6.498874395,-2.64581161,-3.50296327,3.48155396,5.199445103,4.20699357,2.945480794,2.440261938,4.991960562,4.643243338,2.686740538,1.794299577,4.288157635,4.652380945,3.278665582,1.262143385,3.675451261,3.930649924,4.722386966,1.050319447,-0.629470689,-0.867699484,0.983413925,1.212802187,0.765101011,4.315164307,3.594428404,3.184978498,2.438898455,-5.216186289,-0.093565761,3.687159528,2.962168997,-0.646376361,1.667785748,2.144810041,1.294603039,2.232172885,0.436547795,1.386068219,-6.502911441,-0.555801259,2.490888663,2.240427165,1.234567883,3.327745327,3.443626698,3.368948826,2.707378636,3.487053029,3.419328504,4.373560319,-7.717284895,3.326500406,4.693601732,4.544270865,8.453638932,6.411064372,8.453638932,6.411064372,-6.391505805,2.752016246,3.477845527,4.645538413,2.221835985,3.31639876,2.515806208,4.519674797,2.922925804,1.397308572,-2.016453679,0.109801308,-4.550064667,-5.106636495,-3.407287268,-3.170768821,-3.653884032,-3.888259222,-3.691525435,-3.14342725,-4.077703126,-3.298689482,-3.316499555,-3.247050626,-3.407287268,-3.081529636,-3.347165753,-4.546967952,-4.916754758,-4.697132731,-4.772117541,-4.304929701,-3.316499555,-3.865516488,-4.540204913,-4.277152717,-3.378771583,-4.451063187,-4.251302282,-3.613763837,-7.090417502,-7.036434553,-7.130436837,1.746062144,-4.674446226,-4.613811244,0.011317182,2.211680894,0.450865178,2.150748111,1.10904013,2.79206454,-0.103388057,1.815740692,2.39730934,2.998191856,1.398074581,3.136450536,3.578247967
hsa-let-7e-5p,12.21957396,13.76712881,13.30254149,11.98775298,13.18608502,11.4977637,11.54190631,9.112953785,9.851756369,10.7996289,5.451069206,9.406274295,12.58679446,12.47883987,12.37531097,12.44516038,10.16150042,10.14976929,11.30497703,12.22792794,11.41539103,10.94597248,11.89764432,11.16735056,10.63965863,12.05739137,14.28382602,14.58317682,14.8642017,14.35244965,15.77329388,14.83088908,6.979041124,6.872776095,6.270007145,11.09062423,10.73230564,11.08474785,12.49140088,12.52764542,12.60672914,12.23045639,12.17748449,12.19439116,12.60734036,12.8924138,12.86552055,13.08333863,13.46172187,13.22137223,13.74896629,13.25757092,13.35293708,12.16118477,12.59661625,13.14395871,13.25504378,13.16878058,13.59227402,11.39191284,13.80066303,12.6769333,11.63658593,10.36476997,8.729474238,9.190889796,11.64417025,10.46091579,8.83520929,9.062713542,13.61615652,12.72332513,12.91983896,12.3690241,13.36964791,13.22016573,13.92811916,11.12824736,11.99052978,10.89437715,12.83108947,11.65311734,12.355765,12.18751878,12.22311717,12.2704106,10.98485957,10.23732634,12.3962973,11.95708333,11.86251451,11.71190962,10.93300233,10.57480312,11.06657863,11.25675719,11.31170157,11.28318894,11.58934773,11.44521157,10.97790727,12.08868394,12.36538356,12.32621178,12.44255291,11.65585468,11.86272238,12.6773134,12.27603876,14.15029269,6.617174592,11.78373975,11.4413859,9.573333389,12.90035321,13.58626501,12.90035321,13.58626501,11.20474845,12.80462965,12.40118088,12.59567933,11.36686241,12.69330028,11.38669394,12.77798024,11.49823808,12.96065146,12.6768897,12.54224006,-4.550064667,-5.106636495,-3.407287268,-3.170768821,-3.653884032,-3.888259222,-3.691525435,-3.14342725,-4.077703126,-3.298689482,-3.316499555,-3.247050626,-3.407287268,-3.081529636,-3.347165753,-4.546967952,-4.916754758,-4.697132731,-4.772117541,-4.304929701,-3.316499555,-3.865516488,-4.540204913,-4.277152717,-3.378771583,-4.451063187,-4.251302282,-3.613763837,5.285762316,4.658753881,5.49230368,7.946172388,4.365918296,5.432125113,7.597459756,8.048395282,7.63648469,11.08623749,11.50515532,11.32920029,11.20097011,12.90181818,12.89350341,13.09871705,13.08964403,13.04373788,12.9515947
hsa-let-7f-1-3p,-7.155541853,0.962792338,3.309418003,-6.727163539,0.645841578,-5.791229123,-5.605407452,-6.822130843,-6.523421475,-7.189659905,-5.307651214,-6.919662685,5.62798583,-10.397134,-10.45880553,5.138563014,5.469353416,-6.051848696,-5.939977016,-7.083097553,-6.666680313,-6.645700353,-6.580965782,-7.104206558,2.541389712,-6.37390943,-9.201608994,-9.176391548,-8.877547537,-8.326522039,-9.162048005,-6.857874523,-10.04674714,-3.942380352,-10.39013056,3.403940999,3.259649278,3.559204363,2.572153038,2.953938062,3.04843638,-9.74338654,-9.741880042,1.496331836,4.863353927,-9.490992828,6.049147907,-10.79952022,-10.93218272,-10.93753205,-10.52508517,-10.72181462,-10.27238974,-11.5958783,3.057528995,-11.11848241,4.160981625,-11.27004177,-10.79101745,-7.069340742,-3.50296327,4.373283783,-12.71329041,2.359558722,1.645242701,-1.318908789,-12.68679136,2.499396947,1.963308726,-1.619205025,6.630826684,7.125230712,6.974400211,5.166465618,2.978315179,2.990723239,3.723055606,2.879602168,1.44449711,-6.02829539,-7.090417502,0.215972049,-6.808690128,4.675094507,4.944099543,-11.11412934,3.983205868,-5.216186289,1.671403764,-7.036307304,-7.671496167,-6.851044062,2.373335816,3.497400754,-7.199476096,-5.200847831,-6.164357729,2.945646006,-6.502911441,1.652679739,3.574695629,-7.347802253,1.234567883,-11.19736837,-11.20248162,3.814376662,-11.61782206,-11.84449491,-11.08187334,3.917628038,-7.717284895,3.06049758,4.311930682,4.460327996,-10.60300669,4.617828187,-10.60300669,4.617828187,-6.391505805,2.273710237,-7.680499939,-7.443140999,-7.367595463,2.71937174,4.559228638,-7.322677567,3.587270095,-7.465258912,-7.149893927,2.792716452,-4.550064667,-5.106636495,-3.407287268,-3.170768821,-3.653884032,-3.888259222,-3.691525435,-3.14342725,-4.077703126,-3.298689482,-3.316499555,-3.247050626,-3.407287268,-3.081529636,-3.347165753,-4.546967952,-4.916754758,-4.697132731,-4.772117541,-4.304929701,-3.316499555,-3.865516488,-4.540204913,-4.277152717,-3.378771583,-4.451063187,-4.251302282,-3.613763837,2.932672354,3.081680574,2.998191856,1.266308453,-4.674446226,-4.613811244,1.351627178,1.860494682,-6.149346859,3.008303297,-6.960814459,-7.006287188,-6.719005639,-7.361728178,-7.311617341,2.313596713,-7.285201888,-7.290437595,-7.332972113
