Run,SRA,Model,Assay,LibrarySelection,Class,Part of microRNAOme 1,CellType,batch used in the normalization approaches,group used in the normalization approaches,Total_reads,Total Filtered reads,Trimmed Reads (unique),All_miRNA_Reads,Filtered_miRNA_Reads,Unique_miRNAs,Hairpin miRNAs Reads,mature tRNA Reads,primary tRNA Reads,snoRNA Reads,rRNA Reads,Other ncRNA reads,mRNA Reads,Remaining Reads,Experiment,BioProject,Sample,BioSample,CenterName,DOI,PMID
DRR041393,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2301241,1301555,71989,725013,722561,469,256,56893,2675,91570,270680,41027,28084,85357,DRX037027,PRJDB2675,DRS007996,SAMD00004870,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041530,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,3782536,3563881,117085,2292242,2290147,512,1413,725570,6806,74044,269459,49651,12448,132248,DRX037164,PRJDB2675,DRS007988,SAMD00004950,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041578,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2906968,2713616,101261,1851235,1848312,508,1150,459383,7891,58615,181732,37776,13487,102347,DRX037212,PRJDB2675,DRS007989,SAMD00005945,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041592,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2010240,1917859,104623,934069,932221,418,482,564743,4046,31991,173070,93572,11904,103982,DRX037226,PRJDB2675,DRS007994,SAMD00004865,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041620,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2925215,2736780,110066,1870453,1868037,488,2569,293625,9718,122136,240101,73440,27193,97545,DRX037254,PRJDB2675,DRS007995,SAMD00005509,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
SRR5121485,SRP095395,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,B_cell_germinal_center,23,4,15817486,10189170,427258,5398973,5373258,609,8411,1390583,10452,803380,565671,474160,107308,1430232,SRX2436686,PRJNA358167,SRS1871649,SAMN06167114,GEO,DOI: 10.1016/j.ajpath.2017.02.016,28432871
SRR5121486,SRP095395,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,B_cell_germinal_center,23,4,14313292,10717118,718241,1935983,1919379,553,3111,5030642,14291,88172,1868834,362683,257578,1155824,SRX2436687,PRJNA358167,SRS1871650,SAMN06167113,GEO,DOI: 10.1016/j.ajpath.2017.02.016,28432871
SRR5121487,SRP095395,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,B_cell_germinal_center,23,4,8777768,7311365,590642,3476765,3452886,573,5409,1241721,6609,419588,394373,467576,112859,1186465,SRX2436688,PRJNA358167,SRS1871651,SAMN06167112,GEO,DOI: 10.1016/j.ajpath.2017.02.016,28432871
SRR1012333,SRP031459,Illumina Genome Analyzer II,RNA-Seq,size fractionation,Immune,No,B_lymphycyte,5,4,6340020,2541886,276872,574597,567393,462,1328,1131407,9238,75888,176576,218487,27101,327264,SRX364653,PRJNA222811,SRS491067,SAMN02376775,GEO,DOI: 10.1371/journal.pone.0082471,24358187
SRR1012334,SRP031459,Illumina Genome Analyzer II,RNA-Seq,size fractionation,Immune,No,B_lymphycyte,5,4,9931916,9918314,632625,92732,90986,208,2211,353256,4406,383935,367140,649980,46943,8017711,SRX364654,PRJNA222811,SRS491068,SAMN02376774,GEO,DOI: 10.1371/journal.pone.0082471,24358187
