Run,SRA,Model,Assay,LibrarySelection,Class,Part of microRNAOme 1,CellType,batch used in the normalization approaches,group used in the normalization approaches,Total_reads,Total Input Reads after miREC error correction,Trimmed Reads (unique),All_miRNA_Reads,Filtered_miRNA_Reads,Unique_miRNAs,Hairpin miRNAs Reads,mature tRNA Reads,primary tRNA Reads,snoRNA Reads,rRNA Reads,Other ncRNA reads,mRNA Reads,Remaining Reads,Experiment,BioProject,Sample,BioSample,CenterName,DOI,PMID
DRR041393,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2301241,1301555,71989,725013,722561,469,256,56893,2675,91570,270680,41027,28084,85357,DRX037027,PRJDB2675,DRS007996,SAMD00004870,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041530,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,3782536,3563881,117085,2292242,2290147,512,1413,725570,6806,74044,269459,49651,12448,132248,DRX037164,PRJDB2675,DRS007988,SAMD00004950,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041578,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2906968,2713616,101261,1851235,1848312,508,1150,459383,7891,58615,181732,37776,13487,102347,DRX037212,PRJDB2675,DRS007989,SAMD00005945,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041592,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2010240,1917859,104623,934069,932221,418,482,564743,4046,31991,173070,93572,11904,103982,DRX037226,PRJDB2675,DRS007994,SAMD00004865,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041620,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2925215,2736780,110066,1870453,1868037,488,2569,293625,9718,122136,240101,73440,27193,97545,DRX037254,PRJDB2675,DRS007995,SAMD00005509,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
SRR1973407,SRP057147,Illumina MiSeq,miRNA-Seq,size fractionation,Muscle,No,Cardiomyocyte_derived,101,10,1337049,1105368,65110,829277,828453,475,5946,36581,589,21921,94653,43035,5013,68353,SRX994684,PRJNA281062,SRS909170,SAMN03481912,GEO,DOI: 10.1161/CIRCEP.115.003197,26783232
SRR1973408,SRP057147,Illumina MiSeq,miRNA-Seq,size fractionation,Muscle,No,Cardiomyocyte_derived,101,10,1221820,933106,58941,674120,673464,446,2960,36282,619,17372,84970,46138,3970,66675,SRX994685,PRJNA281062,SRS909169,SAMN03481913,GEO,DOI: 10.1161/CIRCEP.115.003197,26783232
SRR1973409,SRP057147,Illumina MiSeq,miRNA-Seq,size fractionation,Muscle,No,Cardiomyocyte_derived,101,10,1589718,1300210,76993,927425,926455,516,2249,72167,959,29240,100849,78324,5792,83205,SRX994686,PRJNA281062,SRS909168,SAMN03481914,GEO,DOI: 10.1161/CIRCEP.115.003197,26783232
SRR1973410,SRP057147,Illumina MiSeq,miRNA-Seq,size fractionation,Muscle,No,Cardiomyocyte_derived,101,10,1694309,1316422,68231,967321,966338,543,2929,49571,793,29672,99712,76246,5757,84421,SRX994687,PRJNA281062,SRS909162,SAMN03481915,GEO,DOI: 10.1161/CIRCEP.115.003197,26783232
SRR1973411,SRP057147,Illumina MiSeq,miRNA-Seq,size fractionation,Muscle,No,Cardiomyocyte_derived,101,10,445531,373130,28455,275886,275451,381,767,10423,233,8209,32293,21279,1657,22383,SRX994688,PRJNA281062,SRS909166,SAMN03481916,GEO,DOI: 10.1161/CIRCEP.115.003197,26783232
