miRNA,DRR041393,DRR041530,DRR041578,DRR041592,DRR041620,DRR041531,DRR041538,DRR041563,DRR041557,DRR041586,SRR6726499,SRR1664893,SRR1664894,SRR1664895,SRR1664896,SRR1664897,DRR041504,DRR041616,SRR5127221,SRR5127229,SRR5127232,SRR5127233,DRR041583,DRR041589,SRR5901587,SRR5901588,SRR5901589,DRR041466,DRR041479,DRR041582,DRR041597,DRR041361,DRR041418,DRR041624,DRR041678,SRR6324194,SRR6324195,DRR041396,DRR041604,DRR041618,DRR041369,DRR041404,DRR041355,DRR041447,DRR041467,DRR041473,DRR041487,DRR041493,DRR041511,DRR041517,DRR041527,DRR041536,DRR041554,DRR041575,SRR1044598,SRR5755825,SRR5755860,SRR5755895,SRR5755902,SRR5755909,SRR5755916,SRR5755923,SRR5755930,SRR5755937,SRR5755944,SRR5755951,SRR5755958,SRR5755965,SRR5755972,SRR5755979,SRR5755986,SRR5755993,SRR5756000,SRR5756007,SRR5756060,SRR5756067,SRR5756074,SRR5756081,SRR5756088,SRR5756095,SRR5756102,SRR5756109,SRR7545527,SRR7545528,SRR7545529,DRR041481,DRR041391,DRR041518,DRR041407,DRR041420,DRR041469,DRR041435,DRR041489,ERR457736,ERR457737
hsa-let-7a-3p,6.830302865,6.551014973,5.854956375,2.924584375,4.655738842,3.836137182,5.226468206,2.670445457,2.770600117,2.676563132,8.565599909,0.468541018,-6.523421475,1.103476751,-5.307651214,-1.197484768,5.320380738,3.385871483,8.137647384,8.662618116,0.574342708,9.148867475,2.476859087,1.338260402,5.845198321,6.077300825,5.92878407,7.492631253,6.655720364,-6.215926412,-4.826919937,7.769217186,7.019060907,2.933115751,8.212215008,8.124701007,8.279012599,5.801481654,2.158268574,2.985548969,7.972149425,5.488459956,4.500747769,7.374030017,6.831346962,8.307002464,7.701425673,8.074313803,7.821628232,7.937525127,5.72440084,5.352452426,4.464890747,4.711685716,-4.550064667,1.750317668,-3.407287268,-3.170768821,-0.168819566,1.141115953,-3.691525435,-3.14342725,-4.077703126,-3.298689482,-3.316499555,-3.247050626,-3.407287268,-3.081529636,-3.347165753,-0.130684275,1.582325361,3.111724077,-0.343509579,-4.304929701,1.004004759,-3.865516488,1.913155997,1.322760673,0.08916508,-4.451063187,-0.735488341,-3.613763837,5.249482323,5.533212631,4.902181991,5.929539351,6.367437279,7.549598764,7.669928909,7.023358564,7.890912965,7.164693901,4.367857303,5.311475601,4.260305608
hsa-let-7a-5p/7c-5p,16.9714161,17.78269474,17.4838445,17.01032971,17.82589673,17.125195,17.35685899,17.01633749,15.91949907,16.76410579,19.3085565,18.23049736,18.71454455,18.99200157,16.77961406,18.31412157,15.19857536,15.70982781,16.60049896,16.72531852,18.46230331,17.29914008,15.51500848,15.11210293,13.46913694,13.19565381,12.97721395,16.42158903,16.70114095,16.57386403,15.20570771,16.17409344,15.69280734,15.74628487,16.98166101,18.91167584,19.05626178,14.9104676,16.59210232,16.50100635,16.91472236,15.56617903,14.86107915,17.16145702,15.99422276,16.83831147,16.15550648,16.78196322,15.8773318,16.9506279,15.9513532,17.38866141,17.27635654,16.8544088,16.60675116,14.50641701,12.25189321,13.38470435,13.42792604,13.56162155,13.63371421,13.21411854,14.36903182,12.80600877,13.20279319,13.32577224,13.52726568,13.30672109,13.49692087,14.73393333,14.72244496,14.38310841,14.22682429,13.92486211,12.7441401,14.08165179,15.04944875,14.8495069,14.12155349,15.22518724,14.39592063,13.76461992,17.12118174,17.50504767,17.53459509,15.31081811,15.88888258,16.45467696,17.22669165,16.89169353,17.13138917,16.48660772,14.75939166,20.21721425,20.13030593
hsa-let-7b-3p,-7.155541853,8.593474674,7.839974453,3.948124705,-7.430910217,5.731960865,8.068016958,6.525772984,5.97233468,6.264458521,10.01584393,1.653816392,-6.523421475,3.702959378,-5.307651214,-1.773491623,5.593851266,-7.629612767,-11.29519435,9.213497604,-2.049496748,-11.16703247,-7.472581525,3.808029392,1.131799256,0.833341502,0.844876443,7.30220132,-7.41573052,-6.215926412,1.995385656,7.549484694,6.28044533,6.588705702,-8.862380942,10.26754474,10.48163454,-5.901045161,-6.470797028,1.450699983,-8.036761057,4.941392912,-6.391505805,8.50306542,-7.680499939,-7.443140999,7.616608767,-7.544586872,7.503589591,-7.322677567,7.767797356,-7.465258912,6.133381165,-7.465258912,-4.550064667,-5.106636495,-3.407287268,-3.170768821,-3.653884032,-3.888259222,-3.691525435,-3.14342725,-4.077703126,-3.298689482,-3.316499555,-3.247050626,-3.407287268,-3.081529636,-3.347165753,-4.546967952,-0.481200454,1.393798424,-4.772117541,-4.304929701,-3.316499555,-3.865516488,-4.540204913,0.12207161,-3.378771583,-0.927102516,-4.251302282,-3.613763837,5.930336211,5.255223385,5.45989132,6.691732292,7.554550559,8.184647062,8.090706935,7.119886267,7.941213693,7.374352485,4.583609573,8.244022548,7.711563381
hsa-let-7b-5p,14.78842154,15.2864268,14.87888923,14.412389,15.40651428,13.97184542,14.4871988,14.09817176,12.45550962,13.86232683,15.82456733,16.22491499,16.61874384,17.01443643,15.0195014,16.31482726,11.29380652,11.94663656,12.6391083,13.54505237,16.40769967,14.39451228,11.04028278,11.27407423,8.492586653,8.402269574,7.637468095,12.95967031,12.99356607,14.50614249,10.62832497,13.63464077,11.50123359,11.79004241,13.13714593,14.84838609,15.1706189,10.78400989,13.7030231,13.20595827,13.39627965,11.03163147,12.72139898,14.52190354,12.82412573,14.14768909,12.82256771,13.96477895,12.38505643,14.09982528,12.68134934,14.18490337,13.72779968,13.39095443,14.82375029,12.33954638,10.527206,11.36593036,10.83932906,11.21696134,11.24018689,10.33476492,11.22858112,10.40090531,10.78149782,10.65392826,11.23810354,10.97218997,10.01563068,11.80273529,12.45091314,12.08975785,11.37699787,10.81892663,10.15561764,11.21765753,12.85411909,12.01440188,12.09381451,12.75094052,11.80725027,11.03453991,16.77582222,16.74358607,16.77112651,11.43952986,12.55431469,13.33339344,14.21133284,13.7507212,13.50403227,12.74353458,10.02932477,19.91588022,19.98389979
hsa-let-7c-3p,-0.183211606,-7.7235991,-2.045670619,-6.727163539,-1.737008462,-6.860942245,-3.161574589,-2.137568573,-6.622958986,-3.508282267,-1.154306442,-6.822130843,-6.523421475,-7.189659905,-5.307651214,-6.919662685,-2.228677764,-7.629612767,-11.29519435,3.910110762,-7.717284895,0.563225935,-7.472581525,-4.074220372,-4.831413587,-3.786970561,-4.117376112,-3.273097246,-7.41573052,-6.215926412,-4.826919937,0.681209656,1.324550295,0.872950423,0.936729741,-2.575787567,0.809508997,-5.901045161,-6.470797028,-7.735263787,0.446041259,-3.862376754,-6.391505805,-7.173561921,-1.09893815,-3.050696082,0.209864621,-2.443013545,0.529136911,-7.322677567,-1.620907566,-7.465258912,-2.016453679,-2.356197583,-4.550064667,-5.106636495,-3.407287268,-3.170768821,-3.653884032,-3.888259222,-3.691525435,-3.14342725,-4.077703126,-3.298689482,-3.316499555,-3.247050626,-3.407287268,-3.081529636,-3.347165753,-4.546967952,-4.916754758,-4.697132731,-4.772117541,-4.304929701,-3.316499555,-3.865516488,-4.540204913,-4.277152717,-3.378771583,-4.451063187,-4.251302282,-3.613763837,-7.090417502,-7.036434553,-7.130436837,-3.851107959,-3.326435646,-1.331928496,0.158754385,0.42300564,-3.763084263,2.546101146,-0.391296392,-1.973471532,-3.255735589
hsa-let-7d-3p,8.204034176,7.538280206,7.955503399,4.162540968,7.553825143,4.895685686,6.217738291,4.344435924,4.034410335,6.37621825,7.477908388,10.06053293,7.781606482,10.70499986,7.21279558,9.14249629,8.089180918,7.110668424,8.086911521,7.786096425,6.289076355,7.895088307,7.102002856,7.386563664,8.113638648,7.958918267,7.924144075,7.584847873,7.287378967,9.240442942,6.017823653,7.689297404,6.931650821,6.397076077,10.38503721,7.602165617,7.405669117,4.216307817,7.193853374,4.068521109,9.003121287,7.889988078,3.434286622,6.849597726,6.844926186,7.740119734,5.204742862,7.79830127,5.287222913,7.656666371,6.462739311,6.976633391,3.737232617,4.583472775,-4.550064667,3.484807131,4.142611219,1.135586229,3.518917172,5.179282899,3.714603328,2.312732228,5.238963664,2.604828458,2.16413993,1.710727877,2.085851208,0.365959862,3.764014039,5.690010526,6.576267312,6.160219417,5.8948979,4.400596123,2.16413993,5.08965805,5.823481077,4.891052114,1.594679522,4.963101619,5.013169388,-3.613763837,8.541375601,8.918472961,8.953897818,7.34109914,6.14796377,7.256768882,7.019100886,6.269216876,5.704927049,8.248340859,7.667365036,7.873584868,8.090510187
hsa-let-7d-5p,11.00421392,11.86323766,11.67587612,11.38961225,11.58704752,10.37064193,10.6427492,10.06211592,9.151766108,10.61638849,11.57700509,14.88879272,15.61713546,15.92138983,13.5082648,15.320612,10.93600004,10.714874,10.79644677,10.00434214,16.76513037,10.61352745,11.2462389,11.13671756,12.58942777,12.30424049,12.21217195,10.66551764,10.44244761,10.60154678,9.50432329,10.65299684,10.2241279,10.07799794,12.78204943,11.87054165,11.7072528,9.074865904,10.97392787,11.88764993,11.70191446,10.60025447,9.407824027,10.71783239,9.893531521,10.53335958,9.731947127,10.79195731,9.959297176,10.6588504,9.872648082,10.93532818,10.7332,10.38870667,14.51065274,11.8652545,9.190446762,10.71897383,10.71321642,10.86358313,10.57776146,10.41605237,11.54060364,9.985016922,10.56459309,10.60110979,10.94894519,10.25956637,10.69593272,12.21675177,12.22454638,11.87448568,11.89272727,11.66812209,10.0816735,11.33926324,12.33847047,12.02332162,11.32410446,12.54458599,12.05805163,11.45919865,15.25135352,15.11971608,15.24912606,10.22517122,9.58324237,10.32528814,10.66915153,10.47934023,10.7040138,11.06592673,9.933186652,15.79801145,15.795853
hsa-let-7e-3p,2.011055782,2.347435482,1.15003078,-6.727163539,1.430956061,-6.860942245,0.751630002,0.38324031,0.34749843,-1.864428293,5.103627428,-6.822130843,-6.523421475,-7.189659905,-5.307651214,-6.919662685,2.240427165,1.234567883,3.729416805,2.702688459,-7.717284895,3.599440986,-7.472581525,0.047867916,4.113160565,3.880470885,3.899007693,4.198049126,4.188865235,-0.015889314,-4.826919937,3.783696185,3.244813473,-0.231782516,6.166454782,3.510963948,4.387296232,-1.441149276,-0.740835811,-4.308768502,4.644281573,4.311930682,-6.391505805,2.752016246,3.477845527,4.645538413,2.221835985,3.31639876,2.515806208,4.519674797,2.922925804,1.397308572,-2.016453679,0.109801308,-4.550064667,-5.106636495,-3.407287268,-3.170768821,-3.653884032,-3.888259222,-3.691525435,-3.14342725,-4.077703126,-3.298689482,-3.316499555,-3.247050626,-3.407287268,-3.081529636,-3.347165753,-4.546967952,-4.916754758,-4.697132731,-4.772117541,-4.304929701,-3.316499555,-3.865516488,-4.540204913,-4.277152717,-3.378771583,-4.451063187,-4.251302282,-3.613763837,-7.090417502,-7.036434553,-7.130436837,2.50416844,1.640845752,3.42370217,0.399656143,1.380356888,1.61382872,1.300679544,0.287542192,6.248880607,6.915708562
hsa-let-7e-5p,12.21957396,13.76712881,13.30254149,11.98775298,13.18608502,12.02639956,12.78152352,11.79643797,12.35708894,12.42415578,14.71526663,9.112953785,9.851756369,10.7996289,5.451069206,9.406274295,12.08868394,12.36538356,12.43093141,11.6020026,6.617174592,12.42847061,12.13465187,12.17322189,10.8183551,10.36779246,10.39597574,12.97784728,12.90484233,12.65237635,10.59828382,12.60423208,11.83495073,12.02024255,13.64509097,14.07152489,14.06388673,10.41190379,12.61794745,12.24195991,12.62125515,11.92198388,11.20474845,12.80462965,12.40118088,12.59567933,11.36686241,12.69330028,11.38669394,12.77798024,11.49823808,12.96065146,12.6768897,12.54224006,-4.550064667,-5.106636495,-3.407287268,-3.170768821,-3.653884032,-3.888259222,-3.691525435,-3.14342725,-4.077703126,-3.298689482,-3.316499555,-3.247050626,-3.407287268,-3.081529636,-3.347165753,-4.546967952,-4.916754758,-4.697132731,-4.772117541,-4.304929701,-3.316499555,-3.865516488,-4.540204913,-4.277152717,-3.378771583,-4.451063187,-4.251302282,-3.613763837,5.285762316,4.658753881,5.49230368,10.80605638,11.05386269,11.35466717,12.19686797,11.67873105,11.82719414,11.58048787,10.45987995,18.11033455,18.20786915
hsa-let-7f-1-3p,-7.155541853,0.962792338,3.309418003,-6.727163539,0.645841578,-6.860942245,1.923805688,-6.586243047,-6.622958986,1.065134159,-7.731564014,-6.822130843,-6.523421475,-7.189659905,-5.307651214,-6.919662685,-7.347802253,1.234567883,-11.29519435,4.431171834,-7.717284895,-11.16703247,-7.472581525,1.8037102,1.560896301,2.679640968,-11.7631522,-7.644120827,-7.41573052,-6.215926412,-4.826919937,-7.996180561,-7.705340356,-7.203087588,-8.862380942,-8.603607148,4.666217763,-5.901045161,-6.470797028,1.868975452,-8.036761057,3.718314866,-6.391505805,2.273710237,-7.680499939,-7.443140999,-7.367595463,2.71937174,4.559228638,-7.322677567,3.587270095,-7.465258912,-7.149893927,2.792716452,-4.550064667,-5.106636495,-3.407287268,-3.170768821,-3.653884032,-3.888259222,-3.691525435,-3.14342725,-4.077703126,-3.298689482,-3.316499555,-3.247050626,-3.407287268,-3.081529636,-3.347165753,-4.546967952,-4.916754758,-4.697132731,-4.772117541,-4.304929701,-3.316499555,-3.865516488,-4.540204913,-4.277152717,-3.378771583,-4.451063187,-4.251302282,-3.613763837,2.932672354,3.081680574,2.998191856,-7.322677567,2.581423231,-7.507528713,3.79809935,2.621426842,4.679421633,4.267845831,-7.005391397,-8.088359552,-8.261519652
