miRNA,DRR041355,DRR041393,DRR041447,DRR041467,DRR041473,DRR041487,DRR041493,DRR041504,DRR041511,DRR041517,DRR041527,DRR041530,DRR041536,DRR041554,DRR041575,DRR041578,DRR041592,DRR041616,DRR041620,SRR1005873,SRR1005879,SRR1044598,SRR1664893,SRR1664894,SRR1664895,SRR1664896,SRR1664897,SRR2496782,SRR2496785,SRR2496787,SRR2496789,SRR4328126,SRR5092300,SRR5092302,SRR5092303,SRR5092304,SRR5092305,SRR5127232,SRR5233974,SRR5233975,SRR5233976,SRR5233977,SRR5233979,SRR5233980,SRR5233981,SRR5233990,SRR5233991,SRR5233992,SRR5233993,SRR5233998,SRR5233999,SRR5234000,SRR5234001,SRR5297835,SRR5297836,SRR5297839,SRR5297840,SRR5755825,SRR5755860,SRR5755895,SRR5755902,SRR5755909,SRR5755916,SRR5755923,SRR5755930,SRR5755937,SRR5755944,SRR5755951,SRR5755958,SRR5755965,SRR5755972,SRR5755979,SRR5755986,SRR5755993,SRR5756000,SRR5756007,SRR5756060,SRR5756067,SRR5756074,SRR5756081,SRR5756088,SRR5756095,SRR5756102,SRR5756109,SRR5939870,SRR5939881,SRR5939886,SRR5939888,SRR6336958,SRR6336960,SRR6336972,SRR6336981,SRR6336982,SRR6336983,SRR6336991,SRR6337002,SRR6761159,SRR6761163,SRR6761165,SRR6761168,SRR6761170,SRR6761171,SRR6761172,SRR6761174,SRR6761175,SRR6761176,SRR6761177,SRR6761178,SRR6761179,SRR6761180,SRR6761185,SRR6761186,SRR6761197,SRR6761198,SRR6880326,SRR6880338,SRR7081773,SRR7081774,SRR7288136,SRR7288137,SRR7288138,SRR7288139,SRR7288236,SRR7288237,SRR7288238,SRR7288239,SRR7288280,SRR7288281,SRR7288282,SRR7288283,SRR7288288,SRR7288289,SRR7288290,SRR7288291,SRR7288360,SRR7288361,SRR7288362,SRR7288363,SRR7288380,SRR7288381,SRR7288382,SRR7288383,SRR7288396,SRR7288397,SRR7288398,SRR7288399,SRR7288408,SRR7288409,SRR7288410,SRR7288411,SRR7288432,SRR7288433,SRR7288434,SRR7288435,SRR7288460,SRR7288461,SRR7288462,SRR7288463,SRR7288536,SRR7288537,SRR7288538,SRR7288539,SRR7360482,SRR7360485,SRR7360496,SRR7360501,SRR7360502,SRR7360505,SRR7360519,SRR7360520,SRR7360525,SRR7360540,SRR7360541,SRR7360543,SRR7360558,SRR7360563,SRR7545527,SRR7545528,SRR7545529,SRR7644105,SRR7644106,SRR7644107,SRR7644108,SRR8944248,SRR8944249,SRR8944250,SRR8944251,SRR8944252,SRR8944253,SRR8944254,SRR8944255,SRR8944256,SRR8944257,SRR8944258,SRR8944259
hsa-miR-21-5p,14.84692127,15.21931601,17.4153991,17.30977316,18.17333426,17.15621407,18.08582961,16.20906497,16.98757491,17.92502414,16.51816047,17.25265252,16.53579585,15.8767131,15.8683101,16.7343329,15.70690757,15.26065029,15.63479949,12.39599706,11.86044874,-4.577468404,13.75802964,13.8176467,15.18662571,11.5116457,13.97720179,14.22562865,14.57347413,13.69780428,13.67587139,12.38620247,15.19028373,15.10976428,17.18305129,16.74884655,16.10487381,16.38892997,12.7972594,12.94564046,12.92953021,12.30048008,11.40864536,11.3381313,11.08113642,10.18264496,9.9848017,9.889719897,9.922857908,13.44728031,10.84474162,12.74907797,13.12839446,14.88697128,14.05769719,16.8591524,15.57860479,12.02146834,9.819972896,9.389955968,10.09571767,9.61343757,10.45228879,9.238743951,10.67738631,9.291105621,9.222029221,9.464920191,9.569411122,8.335747451,9.629832719,11.52294975,11.61395034,11.54365529,11.57078217,11.43474402,9.888570312,10.13479333,11.00180974,10.7516761,9.988701778,11.24104421,11.06048894,10.31841881,9.328010398,10.82711532,12.3339723,13.96866328,13.69700727,10.7196311,11.57643864,13.51122683,11.32902862,11.53080422,13.43124608,13.59497753,10.65930874,10.67681112,10.58828347,9.467948937,9.180855706,14.94548422,9.922934102,8.813741185,10.06854757,9.777293863,9.561613077,8.721971336,9.703012161,9.788651564,10.18266444,10.54883849,11.17673078,11.84565434,16.53074701,16.37955557,12.97670753,13.38422721,10.94055834,10.92873665,10.79564545,10.96261472,9.551169404,9.103879466,8.941550148,9.38682315,10.17515721,10.13793292,10.19387603,9.975474644,10.32962772,10.44690909,10.38822712,10.55887814,10.95127755,11.13860516,11.13731869,11.03735539,10.87417989,10.75807607,10.84402065,10.82728556,10.86234204,10.90945265,10.92405123,10.86154103,10.33130201,10.17856542,10.40209299,10.23072736,10.7417971,10.56599096,10.619022,10.6231221,11.34170579,11.36724043,11.24928949,11.21963583,10.42107856,10.43261652,10.50299918,10.57306181,15.72729886,16.27404143,13.69084851,13.70467691,13.43231708,14.56717768,14.61686021,18.18103453,14.34173451,13.04122399,13.98328551,14.40602394,16.05015731,14.68606753,14.45107105,14.5968582,14.86727489,8.568257813,8.813741185,8.915685331,9.029367615,11.78439841,8.323271364,12.39791988,12.38372372,13.89540687,12.8275057,13.19921106,10.85216341,12.49059776,11.47099868,11.85838547,13.91600571
hsa-miR-92a-3p,12.35992303,14.90032566,13.12515047,14.29012559,14.46229971,14.53618094,13.29022656,14.79112782,14.49675084,13.47466826,14.07918183,14.12260673,13.64951116,13.72014692,14.52153445,14.26315596,13.97358472,15.34276676,15.20025003,17.85104875,17.39592835,15.57086647,20.05643926,20.29076898,20.46996098,19.91563241,20.33588686,17.63251069,16.24420064,16.52783961,16.62159645,10.06896622,14.33673172,14.70205322,15.08752652,14.47869122,15.51881404,19.79182961,13.37050708,13.3877244,13.30358258,13.00913587,15.94179307,15.8405063,15.73932492,15.75977076,15.61070537,15.56942556,15.75591534,18.09210764,15.91046194,17.52678569,17.92173769,15.84195967,15.08397916,17.61138161,15.10231199,17.11806223,14.42007468,14.82577987,15.44857565,15.60278164,15.10448373,14.47044065,16.21764775,14.83820266,14.92342165,14.85735674,15.39849166,14.51388002,15.12554881,17.03273631,17.11412698,16.87985951,16.81147626,16.25657269,15.02773449,15.63587579,16.4834343,16.09282264,15.53698728,16.63114693,16.01370657,15.43097114,12.72090391,14.15382022,16.00928924,17.44393614,18.06917083,19.3009365,19.45572795,18.43925955,18.62970892,19.26272255,18.28496364,18.39448511,16.15169331,17.12953712,16.59528115,15.44905344,14.48404677,14.8751057,14.89833543,15.11875267,17.12657923,15.31033646,14.70827693,14.22641442,16.76852208,16.60322029,16.88051999,16.39951362,17.05567907,17.31889218,17.57598683,17.58068643,18.08876834,18.26170798,16.85552874,16.86800613,16.78274822,16.87618969,16.26835668,16.24038493,16.25150948,16.30409452,14.32257128,14.37851409,14.49127923,14.4449902,15.03340301,15.00950906,14.99996333,15.04327882,15.26183112,15.29651781,15.24729731,15.28209984,16.31144744,16.29360601,16.28497971,16.28993517,14.7205306,14.73726463,14.73675298,14.87973764,14.8899944,14.90350096,14.88021466,14.85078011,15.5045937,15.46251061,15.54932485,15.62842167,15.07734879,15.03616286,15.06026843,15.0247573,14.79643281,14.94035317,14.94159026,14.91279713,13.28998162,15.95948043,14.15183009,12.3958101,11.8425625,16.22164856,12.4088299,17.1022971,12.41643765,14.53281316,14.09151675,14.46219957,12.60199167,11.84194306,18.41484377,18.52605814,18.67855095,15.07902466,15.01864943,15.08149132,15.12649437,14.92584662,13.3614633,15.76554055,15.67062989,16.97993336,15.69160642,16.51518583,16.96134684,14.97599802,14.99672305,15.33186465,17.02281335
hsa-let-7a-5p/7c-5p,14.84648869,16.96814973,17.15886107,15.98517645,16.82808816,16.1479428,16.77866684,15.1827968,15.87624003,16.94689638,15.95241317,17.78100565,17.38636775,17.28038092,16.85259324,17.48360027,16.99869492,15.70493517,17.81122794,12.63116659,11.41465414,16.58238954,18.21416687,18.68156726,18.96021645,16.76468055,18.299736,14.38705544,15.16724124,16.009079,14.14467863,12.2769745,14.54467888,17.48633866,18.4640195,17.73098183,17.23846451,18.44862815,15.03824136,15.07074974,14.90007075,14.310873,12.41184608,12.43111181,12.19795302,13.21948539,13.03757753,12.97539037,13.04004938,15.0542275,12.9289024,14.46402912,14.96981818,16.90733661,16.07099329,18.06952864,16.40772557,14.50113968,12.21411008,13.36611004,13.40257219,13.53031988,13.60361191,13.18910965,14.348872,12.77157069,13.15527554,13.25776601,13.48785066,13.27229534,13.45467155,14.70045152,14.71028753,14.35714081,14.2111578,13.90124254,12.70462941,14.05547616,15.01894345,14.83332296,14.08381556,15.20347474,14.3711102,13.73057815,9.786488743,10.39838485,11.13053794,11.79429507,14.81147305,14.12520409,14.39716675,15.47333153,14.2638309,13.91969807,14.9452862,15.22324212,14.21553415,14.70514339,13.84362375,12.60520963,11.63127308,15.69397852,12.10584581,12.02312083,13.90360195,12.50501556,11.14101388,10.81101956,13.41987055,12.79365464,14.11475066,13.50443827,14.5603554,14.95485165,16.36317231,16.61485911,12.20441146,12.58081149,12.55843065,12.4583562,12.48945439,12.53615061,10.454083,10.36825309,10.43917811,10.32814572,8.98805843,8.82742383,9.016549039,9.162951624,10.87681798,10.83320486,10.74918741,10.88647071,9.899983381,9.921658039,9.701584466,9.951523214,11.02711611,10.91846271,10.92044046,10.96526304,9.369699416,9.372383911,9.30967219,9.746064982,8.889326539,8.928678394,9.241713981,9.187598307,10.80299721,10.6366396,10.67562638,10.79506955,9.953643955,9.930093807,10.0263764,10.01723601,10.28227542,10.40885342,10.43192071,10.28206109,12.094706,12.83741134,12.70625238,11.38827623,11.30041875,12.61381684,11.36476981,14.36861277,11.20193253,12.54399876,10.35024712,13.01414602,11.63276377,11.5801381,17.10649,17.49257078,17.53116811,11.33016742,11.15054912,11.27796319,11.26281863,16.00911279,13.70341773,17.77453073,17.31392688,18.39160266,17.52282913,18.1387312,14.48582914,17.00326872,16.19323171,16.60288581,18.97319617
hsa-miR-22-3p,17.22751606,17.64499504,18.12816808,17.51146383,18.47096604,17.0129481,18.50971639,16.7198795,16.94686196,18.36878156,16.99528159,17.69672771,17.05780791,15.36703892,15.85171635,17.82689557,17.09858844,15.78460591,16.85370189,17.25950703,17.35359636,15.07608762,18.09367783,18.68181558,19.07946083,16.94326616,18.40420933,17.23737946,15.39722924,16.02123211,15.84495782,11.94713486,13.05317987,13.31553585,13.343058,13.32398851,14.2500024,19.37683471,9.350142608,9.076321245,9.316512969,8.53968935,15.27331705,15.05091976,14.95732394,16.0919121,15.83440931,15.84715964,15.85688896,17.22454952,15.04348643,16.66596533,17.05230772,16.1063039,16.02935243,14.39315388,14.2581454,16.40642486,13.64658018,13.3352082,13.97678399,14.51907769,14.20604503,13.66275611,15.05364715,13.86801009,13.79543296,13.67779334,13.44502819,12.24709014,13.18154546,15.2300531,15.73085585,15.72580542,15.93670886,15.64843617,13.94972559,14.0645579,15.03082509,15.1977045,13.50642705,14.87022229,14.81922827,13.93212323,13.61365134,13.86320442,16.46477428,16.88866941,16.46189388,15.74096486,15.93703533,16.40812343,16.5179189,15.99318271,16.2933437,16.48720365,13.87797252,13.97704726,13.84297488,13.07817411,12.43361307,12.76479891,13.11077017,11.95121784,14.44589658,13.12939761,13.32309504,12.30378028,14.17738311,13.68057967,14.47886065,14.0796998,14.90416735,15.13668709,14.49434831,14.80708269,13.72731988,17.30686681,13.24817774,13.21730337,13.2274248,13.22643711,11.64245603,11.51160832,11.62845537,11.70770706,12.15524913,12.0522236,12.20864103,12.19715221,12.38456034,12.4177864,12.3889222,12.37430981,13.01602927,12.89800228,12.87403154,12.84274512,13.54393437,13.5184124,13.50160551,13.53415208,13.36886141,13.23447744,13.34496348,13.42820801,12.51840906,12.49150989,12.50544076,12.51980799,12.66446702,12.60599947,12.73076752,12.73796158,13.60901533,13.59629888,13.66251554,13.55374338,12.27452768,12.34537078,12.4900416,12.41772853,13.35295575,13.76776331,12.05540175,11.0635135,11.52164947,13.28593768,12.50287118,14.6899137,12.32028513,11.62703737,12.38173918,12.56849255,10.53314817,11.82415831,17.52650804,17.21555868,17.51296531,10.62166797,10.40764993,10.53542682,10.44825285,13.26548284,9.729867827,13.02968734,13.23686971,14.40793092,13.33975172,14.58335383,14.85088626,12.32302173,11.84353954,12.25077725,14.39362413
hsa-let-7f-5p,14.0221359,14.87778774,15.68295551,15.37338793,15.76285288,14.61336987,15.61685433,14.97359322,14.44843657,16.04529863,13.66110895,16.45935934,15.92309023,15.60641122,15.33760758,16.38477995,16.26824586,15.21909574,16.3766045,12.70475049,11.29633026,17.27275698,19.11428224,19.22744439,19.73355243,17.11788431,19.05106264,15.07455044,16.71380722,16.4503987,15.71540812,12.30526664,15.32530571,15.95436093,18.47583725,17.94196171,17.38508986,19.3312175,13.82487437,13.87472327,13.73039134,13.30036594,11.81837276,11.97959589,11.79210668,11.73314221,11.63017199,11.55922155,11.53897482,14.18316358,12.03844054,13.59456017,14.07995147,16.3538081,15.64612647,16.71594454,15.17789851,15.73485101,13.89714487,14.71389086,14.84485996,15.00306238,15.0283926,14.36017607,15.63136873,14.22535788,14.55772537,14.49738626,14.86182855,14.41017058,14.86125958,16.41617899,16.46479838,16.03671054,16.08553452,15.84695595,14.0162548,14.87160561,15.81878343,15.72041429,15.15847279,16.16064942,15.76387498,15.21921622,10.30464245,11.64669723,11.75021034,12.86763846,15.79493507,13.93304064,14.42250814,16.35680519,14.6127126,14.03102804,15.87942948,16.13594159,13.65968844,14.58008049,13.73241228,12.39203099,11.5461164,12.55954627,12.13271075,12.24475753,13.09011834,12.49150989,11.63633484,11.14756015,13.23252159,12.97871708,14.11245766,13.8225349,14.85082305,15.32965331,17.97719598,18.10438284,12.15998946,12.96050491,14.2415201,14.19398925,14.13529312,14.23872592,11.25538435,11.2776637,11.38426218,11.33016742,9.194131814,9.348326211,9.517361903,9.305576073,12.31633505,12.33681103,12.26300115,12.27680896,10.9791571,10.88729046,10.89562052,10.85802916,12.59651448,12.42517362,12.4796483,12.3888142,10.2426126,10.17215626,10.28510867,10.35825709,10.60263644,10.51914562,10.62546044,10.58958454,12.08955483,12.06312166,12.12566087,12.18263522,11.04064183,11.12113634,11.01137678,10.9435903,12.08122253,12.08996999,12.17007365,12.17104343,11.65479752,12.08843144,12.08919434,10.79420016,10.36906812,11.90791597,10.61663572,13.75177364,10.48842699,11.45287743,10.08117756,12.09520287,11.86456893,10.88685871,17.91743854,18.03228879,18.09663392,9.241417533,9.112102571,9.270212498,9.40593854,14.10960839,11.43316763,14.90985229,14.98395072,16.32161275,15.22388473,15.89098639,13.81240714,14.93277733,14.13533219,14.55028096,16.92702628
hsa-miR-26a-5p,14.57517552,15.94000265,15.73934564,14.80238597,16.05273003,14.50219545,15.99424581,14.53780131,14.167731,16.08707741,14.11743409,16.21086125,15.38844182,13.94146127,14.31225908,15.9058376,14.4600404,14.22009451,15.8366016,16.67933958,15.90443984,14.77538106,16.51053695,16.86643054,17.98457103,14.92151552,17.15755928,13.52980697,12.74787829,12.29770048,12.01165828,10.48389227,16.49416001,15.0911312,17.718963,17.51346654,16.79284372,18.43498988,12.11545361,12.09986572,11.94119655,11.24115356,12.9779363,12.7736437,12.6788815,12.05707163,11.86053479,11.86485151,11.84647833,15.30529685,12.8530744,14.59429501,15.09966224,18.17704946,17.84055705,17.54619113,17.22634387,14.83610608,12.59085169,12.23098268,13.04396573,12.92423935,13.45734035,12.86713495,13.70738422,11.95422492,12.15690148,12.67862448,12.28519779,11.80829,12.52873762,14.36196647,14.691315,14.49177401,14.55119662,13.80378278,11.77874721,12.57266233,13.4520687,13.23276281,12.12016561,13.45848985,13.83111009,12.49418863,10.00148157,12.11954423,12.10467458,13.18669236,13.51175309,11.38532253,11.79840405,13.54687507,11.46045422,11.74571653,13.27499025,13.73196334,14.82547116,14.8634385,14.58138001,13.61764088,13.28961477,13.31412571,13.24599999,13.34548742,14.32770208,13.71752451,13.06818868,12.54555433,14.56874873,14.26652085,13.89305472,13.1393276,14.08880356,14.63879886,18.22209933,18.21822447,11.65207028,13.36824227,13.23594029,12.99426492,13.08349493,13.02740238,10.34255388,10.17802036,10.33596428,10.31410857,10.38736891,10.17008621,10.51951282,10.24749246,11.60963276,11.34086991,11.56041569,11.50650285,12.91028477,12.7221297,12.86298767,12.64462518,12.16162392,11.86375656,12.07123737,11.85488162,11.64102701,11.48061892,11.58917658,11.64415623,11.70630491,11.56688847,11.82508002,11.49936877,12.4358145,12.24645494,12.53110554,12.43848549,12.68540297,12.38376448,12.78290532,12.52141855,11.94328717,11.73315147,11.9252212,11.81049736,13.01910103,13.12156146,12.81838705,12.01757515,12.80556399,11.43586382,12.9265861,11.61458519,12.12041551,11.48531219,11.56914039,13.07094272,10.89755345,12.36918554,17.74553203,17.39315777,17.93934069,9.518191919,9.309330206,9.26010614,9.472036548,14.48633902,11.13555693,14.41511998,14.98570779,15.84997267,15.06047384,16.17164992,12.86502406,14.5625461,13.6197808,14.63686301,16.32574236
hsa-miR-181a-5p,13.6915069,12.21610569,14.71889315,14.12105879,14.14018897,12.0540774,14.589788,12.98874499,11.78052975,15.73845024,12.99686611,13.96608076,13.39382096,11.83421665,11.64793787,13.726959,13.06123928,12.65200557,14.23066401,16.16999072,15.41811772,10.35460558,18.52779676,18.89075679,19.00278709,17.00447824,18.79054581,16.07713387,15.09760936,15.07906055,14.97825852,10.55621401,12.07553829,13.38176079,12.45464144,11.89718824,12.04974538,19.23298052,6.934025173,6.672802073,7.132579017,5.73980386,13.17191284,13.04065591,12.89986476,13.6288008,13.63635785,13.48113011,13.6351718,15.38659257,12.89723615,14.67508211,15.14719268,17.30625521,16.02572356,17.05982781,15.37094407,15.50530919,12.5222268,11.89078821,12.48441633,13.29937138,12.74375121,12.17049882,13.85067645,11.80333911,12.49577628,11.99378437,12.61058784,11.78551096,12.28039463,13.81839163,13.87977859,13.65007006,13.80840029,13.72232669,11.51673979,12.69240485,13.3771841,13.52877707,11.70569707,13.50602728,13.66117725,12.66290526,11.6719506,11.50174743,13.05507763,14.45323653,15.04318668,14.47402208,14.95863491,15.23899985,15.11663166,14.92550991,14.91980434,15.45466864,13.03769419,12.86741032,13.25165497,11.49828599,10.97068289,12.78150597,11.3997961,10.94811793,12.35129083,11.64588121,11.03718477,10.5123968,12.22908158,12.16889319,13.21116314,12.4001668,12.66350512,13.43046791,14.54006749,13.40707799,15.17301334,15.9482735,13.97591954,13.96077562,13.87366464,14.00219824,12.23297748,12.03604313,12.16562498,12.1645924,10.47002388,10.448089,10.49762267,10.54107402,10.64664445,10.55821506,10.66454119,10.64964777,11.26818294,11.27558014,11.31233185,11.2714451,11.86680752,11.71202772,11.80031226,11.75006724,11.53455051,11.52613322,11.50848313,11.63437332,11.47935864,11.47506386,11.56602799,11.48056577,10.89470821,10.99547593,10.92973376,11.03576706,11.92702994,11.93469457,11.90062037,11.84334149,11.31271787,11.37022005,11.43396174,11.44013378,11.22475542,11.75593947,10.59418476,10.31508104,9.768466235,10.3261657,10.89879532,11.28077992,10.93276676,10.12330243,10.59230729,10.91553869,10.36393146,10.76335776,14.74883969,14.19208781,15.03232421,10.64797307,10.6261261,10.5595078,10.42058696,13.91580469,12.06245569,13.46385044,14.86547321,15.09483512,13.58162787,16.1479251,15.51187082,14.01520888,13.40656191,13.78993378,15.42246746
hsa-miR-486-5p,-1.228205039,6.003888825,2.953061401,4.591317119,2.975598025,8.295546125,0.956146351,9.46350017,4.835990143,1.360733221,4.697976659,3.156695278,7.518479181,7.807274397,8.562084168,0.595342523,-1.003544857,8.220247517,5.327669783,18.65133997,18.50756719,-4.577468404,20.8347543,20.78714146,20.91862129,20.90103995,20.86028235,19.56876219,20.7324428,20.80492292,20.91614979,12.78902681,17.01932461,18.64203192,17.42076127,17.22480369,18.74751367,20.46148879,15.77557192,15.85310039,15.79196911,15.52815115,16.75398938,16.62003809,16.58521185,17.82057534,17.66734524,17.65619094,17.73957508,18.72531027,17.02870984,18.30463672,18.61393816,12.35908872,12.84263721,14.52054484,14.79495539,19.49311203,17.89283229,17.58224411,18.41122573,18.58332391,18.40070586,18.03405577,19.01067716,18.47965971,18.39133159,18.37136139,18.16228333,17.64668817,18.12341258,19.01508482,19.23076912,19.09962268,19.20957354,19.19938873,17.58125651,18.2245242,18.61072204,18.58778532,17.92789586,18.52622531,19.06209161,18.37158478,18.17659201,17.12788426,18.96603374,19.6689959,19.40668651,20.58067357,20.58550681,19.76082456,20.48149014,20.49030336,19.61576827,19.84537111,19.39721845,19.94395302,19.63512138,19.37187109,18.3190505,18.2206856,18.39709631,18.68048959,19.92721926,18.42460071,18.41182341,18.06112602,19.90002314,19.60877783,19.28574083,18.71897372,19.26078645,19.39477816,18.65692751,18.90392539,19.98524023,19.83376527,19.25007832,19.24237895,19.20108174,19.24903463,19.85137228,19.8219085,19.83796881,19.84310057,17.90410718,17.90690243,17.98011265,17.97382302,17.48273661,17.47025748,17.47778551,17.48381486,18.21955084,18.23771726,18.2073858,18.21867515,19.44795041,19.42202914,19.42709205,19.40703965,17.8988238,17.86745274,17.89199688,17.96610949,17.92880605,17.9178312,17.95295278,17.91783402,17.95268359,17.89606899,17.97298463,18.00797065,17.51527884,17.51285905,17.54165294,17.51592865,17.82269922,17.88818022,17.89086084,17.85376272,14.56862297,15.46449301,14.3855335,12.20669263,11.71239017,16.34205168,12.05499482,17.18111559,12.96899495,14.73931165,14.30576455,15.00953548,13.10008606,12.17476111,18.95856681,18.59036285,18.88202895,19.45604757,19.41308539,19.45471719,19.45624212,20.76122261,20.62086719,20.54214005,20.59790979,20.54988835,20.61212741,20.85720041,21.28720932,20.45257892,20.35419551,20.39649695,20.56197857
hsa-miR-191-5p,11.54979502,14.71086637,13.59314481,13.9989973,13.30187939,13.75179613,13.69448936,13.44631255,13.22470402,13.56856099,14.03344877,14.87873544,14.42280523,14.25829568,14.43420044,14.64900352,14.92859562,14.27073428,15.63070846,18.1691223,17.95563605,14.66907192,17.36745266,17.3105841,18.60848896,15.74564727,18.22638959,14.69145683,15.88355414,14.80440867,15.67202603,9.004448617,15.69205009,14.30279345,15.43593237,15.22863852,14.84467164,18.46699017,10.211801,10.2648359,10.16071114,9.616508682,13.69733518,13.51685551,13.34844221,15.1218998,14.90212143,14.89663063,14.97154694,16.13478845,13.29782821,15.34162812,15.79947696,15.85000257,14.80020508,18.10496859,15.63169303,13.26368374,11.31029091,10.37454822,12.13937322,11.85386411,12.21677821,11.45837047,12.47559732,11.34380864,10.9591211,11.22017413,10.48313885,10.46285345,11.45725257,12.4548124,13.39802416,12.96122037,13.30107566,12.67509704,9.830993925,11.12744587,11.70307918,12.11432059,10.96143781,11.80957275,12.72209353,11.39470128,11.77236418,11.767118,11.85266589,12.78372194,12.9537678,13.15871958,13.18533136,13.71910156,13.33630419,13.32360889,13.03397469,13.97936954,14.16381178,15.31936319,13.92207147,13.45637453,13.42618859,13.5734774,12.77792956,13.96438348,14.43488253,13.65903151,12.88531392,12.17587132,14.65010714,14.41251236,13.50376047,12.96272554,13.73967114,14.14137365,18.4541964,18.50701401,11.89780434,15.09308862,14.10869448,14.04159814,14.06486262,14.05883152,13.80835289,13.65403483,13.73168378,13.76010098,11.73044853,11.64999655,11.96648106,11.83085179,12.25001224,12.23809703,12.28643168,12.30116956,13.96395442,13.9598246,13.94193333,13.96265066,14.14963241,14.06950945,14.13251681,14.00794179,13.0240922,13.00560231,13.00097066,13.03503021,13.07202741,12.95248647,13.06323182,13.03426496,13.56236336,13.43727011,13.55649639,13.60578673,12.88812459,12.76533882,12.92432781,12.84577633,12.83091169,12.880401,12.89902898,12.9181442,12.44476358,12.42104695,11.89410532,11.3283672,11.28870375,11.11275721,12.63162645,12.50836113,12.54335557,11.25638016,11.97877897,12.54884848,6.694710235,11.96283611,18.28258993,17.60602029,18.20964671,9.090070618,9.280028179,9.165601491,9.127800097,17.99029073,16.17143891,18.60972211,18.60127331,19.30709673,18.55508647,19.38960231,18.11461337,18.67773641,17.89843529,18.18741414,19.51396574
hsa-miR-10a-5p,13.67499369,14.88901658,17.08954011,16.34934791,15.92503493,16.44800124,17.01517941,15.93296732,16.1043135,17.06979,15.64555212,17.24829453,16.23354449,17.36441105,17.4605567,16.58873862,16.95955224,16.73504865,17.29350592,13.66378815,13.48506491,-4.577468404,9.693870636,9.109222218,9.717405685,6.796520936,10.34114503,17.06852348,17.49456472,18.24812078,18.28570813,8.438298371,10.70940063,11.69869861,11.5612644,11.14044799,10.96173276,12.02920366,11.25104322,11.48075478,11.26357294,11.10834991,10.67187439,10.64711793,10.36437575,11.75990586,12.11719005,12.00065313,11.95288817,11.92598882,9.637852833,11.31575436,11.59483391,16.50310424,15.70862111,19.52070103,15.31914618,7.444173832,6.259744973,1.770527853,4.110172191,4.25385573,4.406586042,3.381536773,5.116612965,5.950423626,-3.357584089,3.500277276,3.888113821,1.183730596,2.51011766,4.936788337,4.872404993,4.059479153,5.882765851,5.704098723,1.610270883,4.112470955,4.168479628,3.621282513,1.546307679,4.250431252,4.271509983,1.349532744,12.24027444,9.964244786,12.49627386,14.02378075,14.24284826,12.78992437,13.03538925,13.79483408,13.12882461,13.10668919,13.5876509,13.75853393,14.93070424,14.91371745,14.93163298,14.13645147,13.58836213,13.85905236,14.10745198,13.54608996,14.68304245,13.2233355,12.85088826,13.03387766,13.6019732,13.7760073,14.39645823,13.50807121,14.35618861,14.34936164,15.61759649,15.1740199,14.21225126,13.65347465,12.38266352,12.40332363,12.35495506,12.37448571,11.25019274,11.19180807,11.22568913,11.24055963,10.69998623,10.80823025,10.72186333,10.92600418,9.908666537,9.98903046,10.06547939,9.91300441,10.90713049,10.93312879,10.85343695,10.7968473,11.53550339,11.4761038,11.53042537,11.41678248,11.49265092,11.50453328,11.43578534,11.51613326,11.02261088,10.86033623,11.01342301,10.89534592,10.29861212,10.33040649,10.47095584,10.58919754,11.45845522,11.42399981,11.59868696,11.48509689,10.43424154,10.48808405,10.53725775,10.57306181,9.830205015,10.04511522,8.483994898,7.438050335,7.814554152,7.291766713,9.42673699,11.43203309,8.774144571,6.051606443,6.709249197,8.017598306,7.973837033,8.628989716,6.579178815,6.082697964,7.325870689,8.190395477,7.969190049,8.263356206,7.842919656,15.713689,12.68003604,15.38476623,15.39129877,16.82375274,15.57390948,16.72275567,14.85487236,15.22237279,15.33454847,15.0814086,16.84389024
