miRNA,DRR041355,DRR041393,DRR041447,DRR041467,DRR041473,DRR041487,DRR041493,DRR041504,DRR041511,DRR041517,DRR041527,DRR041530,DRR041536,DRR041554,DRR041575,DRR041578,DRR041592,DRR041616,DRR041620,ERR747965,ERR747966,ERR747967,SRR10259195,SRR10259196,SRR10259197,SRR10259198,SRR10282881,SRR10282882,SRR10282883,SRR10282884,SRR10282885,SRR10282886,SRR10282890,SRR10282891,SRR10282892,SRR10282893,SRR10282894,SRR10282895,SRR1044598,SRR1592244,SRR1592245,SRR1592246,SRR1592247,SRR1592248,SRR1592249,SRR1664893,SRR1664894,SRR1664895,SRR1664896,SRR1664897,SRR5127232,SRR5755825,SRR5755860,SRR5755895,SRR5755902,SRR5755909,SRR5755916,SRR5755923,SRR5755930,SRR5755937,SRR5755944,SRR5755951,SRR5755958,SRR5755965,SRR5755972,SRR5755979,SRR5755986,SRR5755993,SRR5756000,SRR5756007,SRR5756060,SRR5756067,SRR5756074,SRR5756081,SRR5756088,SRR5756095,SRR5756102,SRR5756109,SRR7545527,SRR7545528,SRR7545529
hsa-miR-21-5p,14.84692127,15.21931601,17.4153991,17.30977316,18.17333426,17.15621407,18.08582961,16.20906497,16.98757491,17.92502414,16.51816047,17.25265252,16.53579585,15.8767131,15.8683101,16.7343329,15.70690757,15.26065029,15.63479949,15.81401496,15.59171507,15.60632069,18.48801114,18.46409739,18.84344354,18.49767128,15.53799057,15.34684844,16.46740921,16.22081582,16.58108027,16.3900659,17.20591634,17.02386308,17.0173282,16.86813541,16.92480456,16.71921288,-4.577468404,13.67864111,13.56554729,12.51677888,12.52424272,12.93053767,13.00545559,13.75802964,13.8176467,15.18662571,11.5116457,13.97720179,16.38892997,12.02146834,9.819972896,9.389955968,10.09571767,9.61343757,10.45228879,9.238743951,10.67738631,9.291105621,9.222029221,9.464920191,9.569411122,8.335747451,9.629832719,11.52294975,11.61395034,11.54365529,11.57078217,11.43474402,9.888570312,10.13479333,11.00180974,10.7516761,9.988701778,11.24104421,11.06048894,10.31841881,14.45107105,14.5968582,14.86727489
hsa-miR-92a-3p,12.35992303,14.90032566,13.12515047,14.29012559,14.46229971,14.53618094,13.29022656,14.79112782,14.49675084,13.47466826,14.07918183,14.12260673,13.64951116,13.72014692,14.52153445,14.26315596,13.97358472,15.34276676,15.20025003,17.70852569,17.57433533,17.59817029,15.97973505,15.69779422,15.98743224,15.66421798,16.64010522,16.30961185,16.65737935,16.30421114,16.12505263,15.7782833,16.66227511,16.34869314,16.12391087,15.856559,16.62679836,16.31564827,15.57086647,17.93146686,17.85251251,17.43570239,18.26364803,16.98224865,18.20037636,20.05643926,20.29076898,20.46996098,19.91563241,20.33588686,19.79182961,17.11806223,14.42007468,14.82577987,15.44857565,15.60278164,15.10448373,14.47044065,16.21764775,14.83820266,14.92342165,14.85735674,15.39849166,14.51388002,15.12554881,17.03273631,17.11412698,16.87985951,16.81147626,16.25657269,15.02773449,15.63587579,16.4834343,16.09282264,15.53698728,16.63114693,16.01370657,15.43097114,18.41484377,18.52605814,18.67855095
hsa-let-7a-5p/7c-5p,14.84648869,16.96814973,17.15886107,15.98517645,16.82808816,16.1479428,16.77866684,15.1827968,15.87624003,16.94689638,15.95241317,17.78100565,17.38636775,17.28038092,16.85259324,17.48360027,16.99869492,15.70493517,17.81122794,19.06940237,18.96827102,18.9617166,16.88547106,16.94142201,17.35198749,16.6318466,14.18587786,13.94421683,15.01373029,14.70545549,13.46021764,13.18762389,15.26038872,15.02063416,13.93031756,13.72463051,14.70526248,14.41627428,16.58238954,17.46245952,17.84411827,17.37571025,18.00672161,17.03156538,18.02585159,18.21416687,18.68156726,18.96021645,16.76468055,18.299736,18.44862815,14.50113968,12.21411008,13.36611004,13.40257219,13.53031988,13.60361191,13.18910965,14.348872,12.77157069,13.15527554,13.25776601,13.48785066,13.27229534,13.45467155,14.70045152,14.71028753,14.35714081,14.2111578,13.90124254,12.70462941,14.05547616,15.01894345,14.83332296,14.08381556,15.20347474,14.3711102,13.73057815,17.10649,17.49257078,17.53116811
hsa-miR-22-3p,17.22751606,17.64499504,18.12816808,17.51146383,18.47096604,17.0129481,18.50971639,16.7198795,16.94686196,18.36878156,16.99528159,17.69672771,17.05780791,15.36703892,15.85171635,17.82689557,17.09858844,15.78460591,16.85370189,14.75285011,14.53483792,14.57007608,13.76035602,13.72044243,13.73679804,13.54222502,15.94534631,15.67692532,16.68043287,16.38142729,16.673737,16.42288595,16.86557857,16.61621374,16.99362154,16.78369167,16.1629139,15.89964865,15.07608762,16.00300758,15.7792339,15.65086476,14.70041212,15.2807221,16.08341811,18.09367783,18.68181558,19.07946083,16.94326616,18.40420933,19.37683471,16.40642486,13.64658018,13.3352082,13.97678399,14.51907769,14.20604503,13.66275611,15.05364715,13.86801009,13.79543296,13.67779334,13.44502819,12.24709014,13.18154546,15.2300531,15.73085585,15.72580542,15.93670886,15.64843617,13.94972559,14.0645579,15.03082509,15.1977045,13.50642705,14.87022229,14.81922827,13.93212323,17.52650804,17.21555868,17.51296531
hsa-let-7f-5p,14.0221359,14.87778774,15.68295551,15.37338793,15.76285288,14.61336987,15.61685433,14.97359322,14.44843657,16.04529863,13.66110895,16.45935934,15.92309023,15.60641122,15.33760758,16.38477995,16.26824586,15.21909574,16.3766045,18.90864732,18.79886684,18.80316334,16.95986013,17.40666566,17.76700557,17.09460938,17.12788295,16.8959242,17.70072067,17.44306902,15.91508331,15.69608046,18.30011549,18.12504837,16.84798748,16.64571962,17.33211984,17.08688348,17.27275698,15.46883065,15.80178768,14.86495746,14.91680245,14.87429903,15.35084304,19.11428224,19.22744439,19.73355243,17.11788431,19.05106264,19.3312175,15.73485101,13.89714487,14.71389086,14.84485996,15.00306238,15.0283926,14.36017607,15.63136873,14.22535788,14.55772537,14.49738626,14.86182855,14.41017058,14.86125958,16.41617899,16.46479838,16.03671054,16.08553452,15.84695595,14.0162548,14.87160561,15.81878343,15.72041429,15.15847279,16.16064942,15.76387498,15.21921622,17.91743854,18.03228879,18.09663392
hsa-miR-26a-5p,14.57517552,15.94000265,15.73934564,14.80238597,16.05273003,14.50219545,15.99424581,14.53780131,14.167731,16.08707741,14.11743409,16.21086125,15.38844182,13.94146127,14.31225908,15.9058376,14.4600404,14.22009451,15.8366016,17.56977636,17.33763559,17.36029622,19.33788665,19.49727532,19.53053045,19.39215334,17.41658708,17.11320706,17.87135669,17.5122747,17.49137322,17.10502036,18.31500439,18.02191674,18.17159097,17.88825309,17.51834045,17.10357761,14.77538106,16.14107472,15.66705276,15.28879264,16.24934972,15.1672083,16.07148279,16.51053695,16.86643054,17.98457103,14.92151552,17.15755928,18.43498988,14.83610608,12.59085169,12.23098268,13.04396573,12.92423935,13.45734035,12.86713495,13.70738422,11.95422492,12.15690148,12.67862448,12.28519779,11.80829,12.52873762,14.36196647,14.691315,14.49177401,14.55119662,13.80378278,11.77874721,12.57266233,13.4520687,13.23276281,12.12016561,13.45848985,13.83111009,12.49418863,17.74553203,17.39315777,17.93934069
hsa-miR-181a-5p,13.6915069,12.21610569,14.71889315,14.12105879,14.14018897,12.0540774,14.589788,12.98874499,11.78052975,15.73845024,12.99686611,13.96608076,13.39382096,11.83421665,11.64793787,13.726959,13.06123928,12.65200557,14.23066401,15.41813579,15.14734663,15.201967,14.89911922,14.1183807,14.64946867,14.27877552,16.19358524,15.99994925,16.10885475,15.8233146,16.11952298,15.89999414,16.76985021,16.61449366,16.3180343,16.14383946,16.12316513,15.87142892,10.35460558,17.68150119,17.27443083,17.38109801,17.21292201,16.57270387,17.3118326,18.52779676,18.89075679,19.00278709,17.00447824,18.79054581,19.23298052,15.50530919,12.5222268,11.89078821,12.48441633,13.29937138,12.74375121,12.17049882,13.85067645,11.80333911,12.49577628,11.99378437,12.61058784,11.78551096,12.28039463,13.81839163,13.87977859,13.65007006,13.80840029,13.72232669,11.51673979,12.69240485,13.3771841,13.52877707,11.70569707,13.50602728,13.66117725,12.66290526,14.74883969,14.19208781,15.03232421
hsa-miR-486-5p,-1.228205039,6.003888825,2.953061401,4.591317119,2.975598025,8.295546125,0.956146351,9.46350017,4.835990143,1.360733221,4.697976659,3.156695278,7.518479181,7.807274397,8.562084168,0.595342523,-1.003544857,8.220247517,5.327669783,17.95719321,17.88356877,17.88321581,12.57100807,12.61050408,12.68346321,12.38099925,18.73268306,18.50777147,17.85864151,17.5511414,17.88268592,17.60144387,18.24444209,17.99577231,17.74987702,17.47858826,19.57142549,19.39042825,-4.577468404,20.25404789,19.90790154,20.05633421,19.58725074,19.36545538,19.79797569,20.8347543,20.78714146,20.91862129,20.90103995,20.86028235,20.46148879,19.49311203,17.89283229,17.58224411,18.41122573,18.58332391,18.40070586,18.03405577,19.01067716,18.47965971,18.39133159,18.37136139,18.16228333,17.64668817,18.12341258,19.01508482,19.23076912,19.09962268,19.20957354,19.19938873,17.58125651,18.2245242,18.61072204,18.58778532,17.92789586,18.52622531,19.06209161,18.37158478,18.95856681,18.59036285,18.88202895
hsa-miR-191-5p,11.54979502,14.71086637,13.59314481,13.9989973,13.30187939,13.75179613,13.69448936,13.44631255,13.22470402,13.56856099,14.03344877,14.87873544,14.42280523,14.25829568,14.43420044,14.64900352,14.92859562,14.27073428,15.63070846,18.33541355,18.19317438,18.20411148,15.72541687,15.66372128,15.76299429,15.87892468,17.75881642,17.57611376,17.34523446,17.11657755,18.10836309,17.9227842,17.9835436,17.80710555,18.44049656,18.30498823,19.4742748,19.34013563,14.66907192,19.14810793,18.79442631,18.8306715,18.39062475,17.54763807,18.43037341,17.36745266,17.3105841,18.60848896,15.74564727,18.22638959,18.46699017,13.26368374,11.31029091,10.37454822,12.13937322,11.85386411,12.21677821,11.45837047,12.47559732,11.34380864,10.9591211,11.22017413,10.48313885,10.46285345,11.45725257,12.4548124,13.39802416,12.96122037,13.30107566,12.67509704,9.830993925,11.12744587,11.70307918,12.11432059,10.96143781,11.80957275,12.72209353,11.39470128,18.28258993,17.60602029,18.20964671
hsa-miR-10a-5p,13.67499369,14.88901658,17.08954011,16.34934791,15.92503493,16.44800124,17.01517941,15.93296732,16.1043135,17.06979,15.64555212,17.24829453,16.23354449,17.36441105,17.4605567,16.58873862,16.95955224,16.73504865,17.29350592,13.24071321,13.03433888,13.05464961,12.90672988,13.08912335,13.50589195,12.48703239,13.41606352,13.13222039,13.35257784,13.04025119,13.45927663,13.2408403,13.86612939,13.6143248,14.333354,14.14176357,17.18475879,16.95174512,-4.577468404,13.47389699,12.66994176,12.40301344,11.43762305,11.79761764,12.46542953,9.693870636,9.109222218,9.717405685,6.796520936,10.34114503,12.02920366,7.444173832,6.259744973,1.770527853,4.110172191,4.25385573,4.406586042,3.381536773,5.116612965,5.950423626,-3.357584089,3.500277276,3.888113821,1.183730596,2.51011766,4.936788337,4.872404993,4.059479153,5.882765851,5.704098723,1.610270883,4.112470955,4.168479628,3.621282513,1.546307679,4.250431252,4.271509983,1.349532744,6.579178815,6.082697964,7.325870689
