Run,SRA,Model,Assay,LibrarySelection,Class,Part of microRNAOme 1,CellType,batch used in the normalization approaches,group used in the normalization approaches,Total_reads,Total Input Reads after miREC error correction,Trimmed Reads (unique),All_miRNA_Reads,Filtered_miRNA_Reads,Unique_miRNAs,Hairpin miRNAs Reads,mature tRNA Reads,primary tRNA Reads,snoRNA Reads,rRNA Reads,Other ncRNA reads,mRNA Reads,Remaining Reads,Experiment,BioProject,Sample,BioSample,CenterName,DOI,PMID
DRR041393,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2301241,1301555,71989,725013,722561,469,256,56893,2675,91570,270680,41027,28084,85357,DRX037027,PRJDB2675,DRS007996,SAMD00004870,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041530,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,3782536,3563881,117085,2292242,2290147,512,1413,725570,6806,74044,269459,49651,12448,132248,DRX037164,PRJDB2675,DRS007988,SAMD00004950,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041578,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2906968,2713616,101261,1851235,1848312,508,1150,459383,7891,58615,181732,37776,13487,102347,DRX037212,PRJDB2675,DRS007989,SAMD00005945,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041592,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2010240,1917859,104623,934069,932221,418,482,564743,4046,31991,173070,93572,11904,103982,DRX037226,PRJDB2675,DRS007994,SAMD00004865,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041620,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2925215,2736780,110066,1870453,1868037,488,2569,293625,9718,122136,240101,73440,27193,97545,DRX037254,PRJDB2675,DRS007995,SAMD00005509,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
ERR747965,ERP004316,Illumina HiSeq 1000,miRNA-Seq,other,Platelet,ERR747965,Platelet,20,30,4868333,4170579,685393,2821435,2759361,408,4037,32283,106,407,16161,509644,5671,780835,ERX691647,PRJEB4974,ERS652448,SAMEA3231214,"LABORATORY OF MOLECULAR MEDICINE AND GENOMICS, UNIVERSITY OF SALERNO, Baronissi, Italy.",-,-
ERR747966,ERP004316,Illumina HiSeq 1000,miRNA-Seq,other,Platelet,ERR747966,Platelet,20,30,4261725,3632434,696200,2396399,2343846,397,3450,27394,87,322,13609,433336,4799,753038,ERX691648,PRJEB4974,ERS652448,SAMEA3231214,"LABORATORY OF MOLECULAR MEDICINE AND GENOMICS, UNIVERSITY OF SALERNO, Baronissi, Italy.",-,-
ERR747967,ERP004316,Illumina HiSeq 1000,miRNA-Seq,other,Platelet,ERR747967,Platelet,20,30,4546753,3922864,708622,2553760,2499556,422,3979,29124,98,375,14754,464387,5621,850766,ERX691649,PRJEB4974,ERS652448,SAMEA3231214,"LABORATORY OF MOLECULAR MEDICINE AND GENOMICS, UNIVERSITY OF SALERNO, Baronissi, Italy.",-,-
SRR1592244,SRP048290,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Platelet,SRR1592244,Platelet,70,30,16212635,15712246,310729,6081345,6029769,700,7570,471557,780,129211,1027749,7143842,71463,778729,SRX716593,PRJNA262560,SRS712382,SAMN03083670,GEO,DOI: 10.1371/journal.pone.0129399,26121269
SRR1592245,SRP048290,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Platelet,SRR1592245,Platelet,70,30,13594963,12981606,353041,4029120,3976890,662,6227,615296,168,17491,1317120,6208460,94785,692939,SRX716594,PRJNA262560,SRS712383,SAMN03083671,GEO,DOI: 10.1371/journal.pone.0129399,26121269
