Run,SRA,Model,Assay,LibrarySelection,Class,Part of microRNAOme 1,CellType,batch used in the normalization approaches,group used in the normalization approaches,Total_reads,Total Filtered reads,Trimmed Reads (unique),All_miRNA_Reads,Filtered_miRNA_Reads,Unique_miRNAs,Hairpin miRNAs Reads,mature tRNA Reads,primary tRNA Reads,snoRNA Reads,rRNA Reads,Other ncRNA reads,mRNA Reads,Remaining Reads,Experiment,BioProject,Sample,BioSample,CenterName,DOI,PMID
DRR041393,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2301241,1301555,71989,725013,722561,469,256,56893,2675,91570,270680,41027,28084,85357,DRX037027,PRJDB2675,DRS007996,SAMD00004870,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041530,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,3782536,3563881,117085,2292242,2290147,512,1413,725570,6806,74044,269459,49651,12448,132248,DRX037164,PRJDB2675,DRS007988,SAMD00004950,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041578,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2906968,2713616,101261,1851235,1848312,508,1150,459383,7891,58615,181732,37776,13487,102347,DRX037212,PRJDB2675,DRS007989,SAMD00005945,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041592,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2010240,1917859,104623,934069,932221,418,482,564743,4046,31991,173070,93572,11904,103982,DRX037226,PRJDB2675,DRS007994,SAMD00004865,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041620,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Adipocyte,159,47,2925215,2736780,110066,1870453,1868037,488,2569,293625,9718,122136,240101,73440,27193,97545,DRX037254,PRJDB2675,DRS007995,SAMD00005509,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
SRR4027315,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,6520753,5526865,346527,872057,859423,566,7044,283594,4537,408891,2750386,398106,94871,707379,SRX2019249,PRJNA338817,SRS1614884,SAMN05559145,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027317,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,8179259,7195690,507526,3179353,3166429,832,9543,313493,13823,186454,1930468,748756,51857,761943,SRX2019251,PRJNA338817,SRS1615025,SAMN05559147,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027318,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,8275402,6648710,314262,2604669,2570791,743,2460,2897634,7117,77398,117093,146229,12821,783289,SRX2019252,PRJNA338817,SRS1615027,SAMN05559150,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027319,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,4323408,3801485,368386,1694358,1680352,660,12551,228789,3245,105556,662716,517886,53105,523279,SRX2019253,PRJNA338817,SRS1615029,SAMN05559152,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027326,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,15852507,15630477,256758,13544362,13533418,1139,23262,108562,7349,281246,468923,807775,75152,313846,SRX2019260,PRJNA338817,SRS1615035,SAMN05559226,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
