Gene name	miR-486-5p	miR-451a	miR-144-3p	miR-412-5p	miR-150-5p	miR-155-5p	miR-29b-3p	miR-223-3p	miR-140-3p	miR-142-3p	miR-15a-5p	miR-197-3p	miR-338-3p	miR-625-3p	miR-132-3p	miR-511-5p
Red_blood_cell	504560.2925	143717.1326	17214.9911	0	207.0058	21.3248	34.4619	82.8146	860.2569	541.0199	8909.1004	13.89	0	5.5775	13.0909	0
Erythroblast_derived	478698.3697	5177.84755	187.6554	3.850575	3.61485	244.75095	20.74245	714.800675	1517.3491	533.34685	397.840825	612.09825	2.90265	81.9543	131.7004	1.020875
Platelet	249173.9359	436.8888	58.6669	18.5655	22.5895	347.2514	19.6512	1398.6609	3378.4352	1627.5443	477.8557	505.1493	17.5881	263.277	22.7581	0
Megakaryocyte_derived	223920.1914	31.39035	32.789575	36.085675	1.829925	65.52605	5.307775	493.113425	1860.447925	549.1232	124.862325	32.59535	6.85665	120.130825	5.537425	0
B_cell_germinal_center	61879.7112	211.52825	28.8298	0	827.37655	10089.2843	242.86895	298.13705	2478.08985	3019.0078	2150.6056	371.6623	8.657	53.52365	50.2343	0
Hematopoietic_stem_cell	11950.68215	26.96455	0	3887.757875	170.50695	12156.42638	0	2808.288325	395.9492	94.906775	210.88705	298.486725	0	62.305925	22.75725	0
B_lymphycyte	246.0996	4413.8155	136.149	0	326954.3527	33984.0768	37642.9084	14770.64843	31207.58342	8206.131425	2431.278025	408.121775	31.724025	556.583275	50.22975	0
Natural_killer_cell	454.31315	33.1691	1.3572	0	148333.5865	1126.7428	2058.837	837.1229	10104.8297	10478.86935	3019.59275	1526.61265	711.2491	73.69085	58.27685	0
T_lymphocyte	19174.9929	62.69725	1.793475	0	177085.7305	5381.748025	58.224625	1045.711875	3369.96745	2866.3218	436.789225	2254.708275	3.0191	116.92975	416.13955	0.792075
CD19_lymphocyte	12923.11382	28.287675	2.4617	0	94065.36265	6090.40845	1318.0615	1254.80585	5562.51395	12320.80223	8836.401175	452.6395	44.71325	114.8593	39.23495	0
CD4_lymphocyte	1997.661775	44.990625	2.3596	0	106655.2116	12970.3352	1491.291925	360.324	8951.4928	14619.7883	2347.711725	518.148975	42.3545	100.199475	113.294675	0
CD8_lymphocyte	1944.808575	61.335925	3.9026	0	133634.1519	3164.97635	947.2681	326.74775	4438.846475	12380.87608	2282.9244	907.514675	53.077325	74.653425	93.016075	0
CD27_IgA_cell	10581.56005	2.91125	0.3787	0	31332.57805	30185.5866	778.251	673.92005	6050.3059	314.40025	2146.28475	117.99255	6.54925	342.37495	68.475	0
