miRNA	COLON	Colonic_epithelial	Fibroblast	Smooth_muscle_cell_colon	Macrophage	Dendritic_cell	Lymphocyte	Plasma_cell	Red_blood_cell
hsa-miR-192-5p/215-5p	1	2.153989596	0.001967853	0.001863275	0.001671068	0.000936457	0.011861142	0.005440284	0.011350592
hsa-let-7f-5p	1	0.158923779	0.193352533	0.199024506	0.426909889	0.303756532	0.104695157	1.735791019	0.240216166
hsa-let-7a-5p/7c-5p	1	0.099980761	0.506454383	0.487070233	0.429887486	0.527602689	0.139747409	0.733055746	0.154548452
hsa-let-7b-5p	1	0.017749192	0.17038071	0.046634618	0.055981646	0.118959646	0.00490999	0.146409835	0.054300935
hsa-miR-143-3p	1	0.041529655	1.395078578	0.713058743	0.007829509	0.00283573	0.000627147	0.31610559	0.000549391
hsa-miR-1-3p	1	0	7.67E-05	0	0.002228392	6.13409E-05	0	0.000986801	1.12E-06
hsa-let-7g-5p	1	0.097691265	0.181581331	0.176569669	0.451970224	0.484379569	0.159126679	0.799135973	0.137540841
hsa-miR-21-5p	1	0.930342651	3.581157979	1.389913343	4.508441798	4.811634065	0.947667765	0.44067033	0.042811181
hsa-miR-199a-3p/199b-3p	1	0.0031028	0.8018385	0.583218982	0.006533497	0.00552456	0.000179744	0.077792934	0.000291372
hsa-miR-103a-3p/107	1	0.085333265	0.297087972	0.278461875	0.480185388	0.835680393	0.111898218	0.766823239	0.356905938
