Gene name	miR-122-5p	miR-449c-5p	miR-7-5p	miR-449a/449b-5p	miR-34b-5p	miR-944-3p	miR-203a-3p	miR-141-3p	miR-34c-5p	miR-200a-3p	miR-200b-3p	miR-205-5p
Hepatocyte	367310.1652	0.7611	306.9271	3.848	0	0.72195	270.4212	55.9867	3.509	186.4538	356.74675	0.52505
Bronchial_epithelial_cell	0	28740.2071	135.511325	26890.65575	2217.313275	125.963525	5649.5325	81661.12388	28542.98805	3927.693175	10443.74493	28360.4874
Conjunctival_epithelial_cell	0	0.981875	1.4728	0	5.58165	45.77935	11923.52953	102337.952	16.664075	5407.624325	13646.04998	10388.46898
Beta_cell	0.669175	1.131325	51188.4796	1.901075	0.49095	0.028275	27.22315	13605.93958	4.9003	1932.923075	4433.4738	1.1399
Colonic_epithelial	0	2.4236	2.1385	1.5682	0	0	2145.0349	15180.1923	1.7108	2238.8428	13759.3883	0
Intestinal_epithelial_cell	0	3.2744	28.2568	0.7276	11.2785	0	2.3042	6.0637	167.2364	3.3957	30.6822	42.5671
Retinal_pigment_epithelial_cell	0.918025	11.6624	34.7484	7.195825	94.768725	4.512925	14.523225	1.978375	931.660175	6.0659	52.695825	1.114575
Eye_ciliated_epithelial_cell	0	0	88.7614	0	125.1277	0	29.3618	3.23445	749.10545	0	3.23445	13.38715
Dermal_papilla_cell	1.1531	0	54.0793	0	114.5006	0	0	157.85515	1451.4784	77.46185	103.9067	7.8311
Renal_epithelial_cell	0	2.89135	91.30615	4.9243	25.63795	0	35.41	604.638	211.2387	1376.59355	14189.0721	511.9325
Renal_proximal_tubule_epithelial_cell	1.90795	19.927025	120.522825	26.615725	14.014075	0	50.4279	2224.7155	167.792475	1939.022775	11491.60723	1819.50425
Amniotic_epithelial_cell	0	0	22.59885	0	57.67455	0	555.0655	2138.30225	846.9189	94.44075	782.0401	3547.9966
Placenta_epithelial_cell	2.04095	0	26.5687	0	71.74975	0	3289.25	2928.5759	1370.9072	34.039	244.2407	2595.9446
Renal_cortical_epithelial_cell	1.182975	265.75995	10.75305	390.841425	7.14145	0	66.05695	955.12645	115.241325	1228.44045	10668.36798	2194.3806
Small_intestinal_epithelial_cell	5297.5237	8.2922	24.8766	11.2537	0	1.7769	714.9051	6453.0994	4.7384	1197.0366	5651.1263	1798.8126
Breast_epithelial_cell	0	3.2364	67.0129	3.5178	116.6508	163.3334	330.2176	5302.6152	1818.8516	59.24	811.3491	92028.0378
Esophagus_epithelial_cell	0	0	126.697075	4.549575	129.843075	377.302325	16869.35595	6756.99805	1366.677625	711.975425	8368.376925	88697.56823
Eye_corneal_epithelial_cell	0	0	165.0915	0	211.5332	247.64255	10181.48305	10621.18585	1849.57025	1077.9011	7964.2024	86667.70005
Gum_epithelial_cell	6.6315	0	64.248925	5.343975	116.887	291.709375	872.856375	8448.175525	932.490625	888.307225	9431.062475	84416.02
Keratinocyte	0	0	18.285875	0	53.638675	640.496	40414.56213	9577.74145	1140.93505	946.86325	7357.997225	98710.51843
Nasal_epithelial_cell	0	6.94525	4.497825	17.296675	25.641875	175.9679	7593.61955	28893.77633	487.479825	1711.02745	8448.1829	48457.23865
Prostate_epithelial_cell	1.215725	2.157375	27.315125	0.9927	103.377525	609.550075	3904.5078	11765.5277	1066.159675	891.25355	10053.3731	96463.37573
Sebocyte	0	0	17.978	1.98325	84.7009	456.09335	9784.22995	3306.2635	2120.35625	375.15465	3827.0199	95878.71345
Small_airway_epithelial_cell	1.92105	49.608075	43.67095	168.7788	64.549225	353.4126	1551.466025	4805.8226	1290.024775	801.86925	6745.8815	74165.6927
Tracheal_epithelial_cell	0.906225	0	46.213075	1.81245	68.619575	317.238675	2397.4639	4114.826625	946.211175	624.2226	6629.21765	80249.18473
Urothelial_cell	0	0	24.87335	2.65195	75.92085	235.6068	1477.5033	6975.63065	1074.47715	572.2924	6256.42	107664.4971
