Gene name	Epithelial	Blood	Endothelial	Stem	Brain	Fibroblast	Muscle
miR-133a-3p/133b	3460.7312	30517.804	71.4515	424556.1083	10369.7724	2108.4567	438137.2492
miR-206	103.9279	1366.3152	21.7497	737.3681	23700.0395	68.8302	2187644.739
miR-199a-5p	65064.9648	223280.4828	36902.3836	709008.5699	93586.6222	1113838.72	456233.775
miR-145-5p	25607.6331	34947.6392	2130.6288	165284.3081	8788.2538	429496.9233	61650.485
miR-663b	228.6945	402.6073	104.2129	253.3922	195.7231	4532.4095	28.8697
miR-9-5p	25625.6551	40275.7621	10103.542	807818.3636	3410149.023	12671.1813	24090.3969
miR-20b-5p	2302.8987	76998.204	348.2601	951503.8123	171702.9231	151.3398	2328.3162
miR-499a-5p	1913.2582	4498.8052	265.1765	40157.8067	4113.0469	384.393	4776.0408
miR-208b-3p	112.9849	180.9329	10.933	95062.9128	223.1257	9.3943	13832.5263
miR-516a-5p	141.286	11.3955	580.6336	26349.7883	114.7368	218.7434	417.7427
miR-517c-3p	0	0.4972	81.8013	3587.2625	6.7073	42.6039	28.37
miR-517a-3p/517b-3p	0.8785	5.1821	1336.5131	27082.3819	109.9353	92.3971	564.811
miR-522-3p	31.0509	0.8415	346.2049	9232.111	60.8893	61.5803	83.0811
miR-519d-3p	0	0	328.9575	6548.4284	21.5913	42.4739	36.0338
miR-371a-5p	43127.6272	8.3272	77.7919	1664631.78	34138.4796	90.7468	2156.9197
miR-372-3p	51975.0148	5.006	374.8101	2009914.966	19470.4231	85.3391	422.1005
miR-373-3p	31012.0898	202.0763	80.1947	2004702.719	16107.063	88.124	218.3113
miR-653-5p	674.7154	4271.2758	115.0231	238517.9008	1498.2614	108.0287	236.1847
miR-302d-5p	11.6662	0	0	132100.7777	2392.6746	1.3206	11.5351
miR-302a-5p	726.1898	4.181	0.1682	13886385.75	200330.2497	1096.025	1967.6762
miR-302b-3p	3158.7678	1.248	0	11613906.28	143937.3641	463.0268	2768.6219
miR-302c-3p	907.5132	0	0	2961383.584	34506.1596	71.0558	935.2666
miR-524-5p	0	0	28.724	5252.4435	29.0498	25.9563	23.8236
miR-367-3p	32.4856	0	0	696811.73	1279.5672	10.1359	34.8451
miR-512-3p	59.8301	9.7849	615.1869	322879.0673	670.0613	1767.434	199.0936
miR-515-5p	23.9324	7.8122	125.6331	152615.6962	195.8344	1070.7274	126.5838
miR-126-3p	49532.1092	2109857.152	10972314.27	104845.9929	7644.3108	14915.3044	16184.3805
miR-217-5p	27918.8815	11.1759	156467.0826	14437.318	18136.5153	148.8818	212.0422
miR-511-5p	186.3601	168531.9119	1213.7747	114.1537	6.2935	23.4812	4.7099
miR-132-3p	64960.8371	571105.2089	12316.3239	47797.7892	25627.9543	29690.957	18637.8178
miR-625-3p	6818.596	76990.2196	9405.7742	20246.707	8993.1784	5623.7577	4875.7676
miR-338-3p	7659.6616	237628.734	4922.3344	7464.4746	2554.6942	832.2657	1316.4985
miR-197-3p	96588.9969	1159658.629	64964.9755	173256.3612	72352.2581	48381.5507	42997.9928
miR-15a-5p	109614.009	1961014.072	48240.7741	80631.3614	52834.6456	47992.8407	35331.8672
miR-142-3p	8353.5446	6365328.87	5029.0513	5019.9228	43.1068	385.2127	6368.3827
miR-140-3p	225837.8692	4379213.058	166923.3105	664329.7576	89778.0495	208534.4605	168588.4084
miR-223-3p	33167.31	8166927.299	7257.8769	9480.8326	158.4503	607.4392	346.7427
miR-29b-3p	115766.3722	637443.8028	30578.4019	24711.696	4468.5065	113803.63	47900.3899
miR-155-5p	253882.4029	7744265.867	474754.8173	105626.0409	27574.3314	141436.9796	139306.6928
miR-150-5p	69236.0082	27450883.08	69751.4087	5291.0652	51.1615	14601.7001	413.421
miR-412-5p	1309.9859	22428.0099	2070.2218	3122.0577	1153.6733	3659.8218	3803.2018
miR-144-3p	221.6351	582978.2142	235.0007	585.0959	71.8002	59.0296	650.8596
miR-451a	17953.192	6337190.95	1512.3394	2368.5619	150.0225	2359.4331	8896.9667
miR-486-5p	415493.378	50126619.96	169775.3892	939096.7213	413969.5745	95245.2311	214317.0545
miR-205-5p	9172961.408	9030.8628	237.2269	867909.7394	26223.182	10564.1861	127880.2237
miR-200b-3p	1306334.188	29830.4455	13575.9262	324094.3969	4113.7471	2834.8866	5410.4236
miR-200a-3p	295447.2528	11246.3601	1653.1988	41577.5936	769.9931	428.9482	912.0306
miR-34c-5p	1315828.33	13553.0442	1286.0876	256984.1606	44117.8298	83602.6977	24845.6874
miR-141-3p	4052357.721	171270.7279	703.532	349103.7668	3292.8808	2213.5005	3374.7905
miR-203a-3p	2596813.561	19866.4173	3923.4624	49237.0575	2101.843	1368.9998	3563.9722
miR-944-3p	51650.1463	1525.7171	10.2609	898.2462	74.6551	13.5735	426.3526
miR-34b-5p	114529.5718	844.3306	88.6505	10979.6692	889.9469	2255.6944	1607.9027
miR-449a/449b-5p	866792.3916	8209.2311	181.4304	18603.7422	2250.353	437.8722	588.6401
miR-7-5p	1274240.069	447441.2293	238632.8862	245462.1598	324004.2706	102064.0022	30357.7448
miR-449c-5p	891513.4402	12922.1554	324.32	17370.9144	4009.3122	326.1275	413.7341
miR-122-5p	2315445.15	13986.6543	1267.2735	434746.6337	2098.765	2758.4921	1693.6904
