Gene name	cortex	muscle	ventricle	liver	pituitary_gland	brain	pancreas	sclera	thyroid	hippocampus	trachea	atrium	occipital_lobe	thalamus	frontal_lobe	temporal_lobe	dura_mater	cerebellum	vein	pericardium	atrial_appendage	spinal_cord	nerve	adrenal_gland	parietal_lobe	spleen	skin	hypothalamus	submandibular_gland	bronchus	pleurae	bone	diaphragm	prostate	glandular_breast_tissue
miR-302a-3p	154.8609904	39.91833893	92.1198389	0.263406263	0.298584255	2.281978696	0.249361215	0.438699898	0.221348952	22.59009166	0.141551367	19.07502212	2.326810874	6.0727493	4.604286555	1.288349622	0.228247538	0.155894474	0.702605281	0.384650502	36.68153977	6.165831715	5.027236354	6.21575946	1.454950599	2.057200236	0.253630266	0	0.035931423	0.225989947	0.744594995	0.460965719	1.197726045	0.088290939	0
miR-302b-3p	312.3785265	46.77150031	232.6877079	0.500033208	0.503619089	3.390368348	0.4263109	1.177562883	0.384781806	59.77511733	0.417702317	55.80720049	3.711295526	9.678332228	8.969595033	1.851026219	0.440293405	0.155894474	1.626686098	0.475336231	89.66170488	13.42115725	10.75357296	12.82535891	2.76194012	5.211216179	0.373706844	0.150243562	0.17669563	1.418212813	0.693034975	0.296335105	0.878332433	0.088290939	0
miR-302c-3p	27.34679447	8.423285657	16.70452809	0.053009538	0.025587781	0.325996957	0.073399659	0.046178937	0.077805189	3.771300778	0.024104794	4.177978085	0.454578536	1.560508564	1.165150746	0.223714958	0	0.051964825	0.134005584	0.163136798	11.36665361	0.964268567	0.733458445	1.624589951	0.419223054	0.439293877	0.080548181	0	0.035931423	0.037080233	0.058227949	0	0.479090418	0	0
miR-302d-3p	194.6310429	64.82174763	93.32001761	0.331716415	0.269029956	1.988581435	0.336020347	0.623415644	0.374374822	22.02439654	0.081716848	18.33773187	2.41988916	5.523077833	4.02829115	1.45134605	0.301648895	0.207859299	0.730781131	0.535793384	49.47384146	6.863814279	5.104473259	5.944994468	1.504270958	3.176700452	0.207320987	0	0.035191052	0.225480429	0.983988195	0.395113474	1.237650247	0.132436409	0
miR-208b-3p	19067.98218	17402.83774	20534.14596	23.80225575	33.95237777	3.748965	13.60875016	2.701467791	128.3249596	47.89551988	7.218898563	3499.113329	4.007187943	14.29906932	7.076960539	12.48472342	2.388243529	5.35237694	9.646486577	812.8720083	4715.735598	86.92474679	97.49505518	5.596604345	6.362326348	8.395432485	19.74418662	1.840483631	2.994038437	24.39723345	1026.877739	442.9222039	903.2052107	151.683834	1.197061454
miR-122-5p	1068.165792	468.6839019	83.48347882	201811.0688	313.391622	4.531357696	187.4586371	114.6161206	1761.847475	396.8916939	129.2105314	97.06494454	22.4757263	66.94643751	11.71238445	4.354635385	38.56517182	3.135498684	24068.37457	538.422968	6469.976295	90.12838583	170.2209333	141.4992709	7.225432635	591.4735181	281.6813061	112.1568188	484.2082914	179.6361835	677.7109974	137.5475234	185.447916	103.3003992	2.970485829
miR-7-5p	156.8143328	362.8254888	1608.85728	653.6293065	442389.1223	9863.928979	6723.05231	87.79385495	1292.045644	24045.86405	324.8854787	631.0014004	4095.472188	3629.913926	10314.58575	7819.161446	869.6219303	428.2917812	1568.984442	316.433587	335.5153584	1343.155348	13138.39797	1560.607356	7192.823658	1297.478794	421.0152079	7930.005431	453.2533916	312.3349348	697.9702327	499.9173225	144.7119224	33.03552652	61.92206778
miR-9-5p	66.33551001	215.5086034	25.07542982	154.2124357	719.0282975	72523.11941	249.3343735	326.6928869	355.2491679	39155.29148	57.04558041	57.60336961	37126.92866	19768.72807	31037.84428	22048.43809	776.5441622	26.18424678	6312.524493	92.07951398	120.1012179	27420.39973	13981.33162	29720.18143	29536.2123	13834.34751	430.0701369	152.6850196	198.0619983	90.39911918	130.3467979	225.3454028	40.86907428	138.3666173	112.9227971
miR-216a-5p	3.984818622	15.6585127	12.50173256	56.05975806	33.92329636	2.47757687	8547.394196	2.285857361	10.9565033	60.94422058	14.46258657	101.9254902	5.591783347	21.53211682	7.139011642	5.20027771	3.027438549	110.6463746	158.8828727	3.608538095	158.3625299	20.97822515	16.38703811	11.12352391	5.918443114	20.19150634	8.168802306	1.72780096	2.781442625	36.50753316	9.533337781	11.42536461	22.87656746	1.368509562	2.615800954
miR-216b-5p	0.078133698	1.625195144	1.331650122	12.93146874	4.651864535	0.130398783	1347.811415	0.323252556	0.743914107	9.390538938	1.670921609	1.777058552	1.088445954	5.118494844	0.727704718	0.54646677	0.246487487	0.103929649	1.693299929	0.165446025	1.040337788	9.092304149	3.022505222	1.554522131	1.208348802	3.446020014	1.208704647	0.300487123	0.107794268	0.745427942	0.377517372	1.580453895	0.598863023	0.132436409	0.088671219
