Gene name	Liver	Hepatocyte	Biliosphere	Smooth_muscle_cell_vascular	Fibroblast	Endothelial_cell_sinusoidal	Macrophage	Lymphocyte	Stellate_cell
hsa-miR-192-5p/215-5p	1	0.893998386	1.027381326	0.009408217	0.003211216	0.004538651	0.002726911	0.019355456	0.006661219
hsa-miR-122-5p	1	1.25	0.000125907	0.000127336	0	0	1.87675E-05	0	0.001202124
hsa-miR-27a-3p/27b-3p	1	0.474601605	0.521957077	0.668641572	0.368854025	0.141624855	0.11803757	0.073541663	0.104979886
hsa-miR-148a-3p	1	1.25	0.059187583	0.020079374	0.059095917	0.014039215	0.058460382	1.25	0.009230951
hsa-miR-22-3p	1	0.484160461	1.25	0.28805182	1.223889791	1.141622076	1.25	0.151294669	0.023246807
hsa-miR-143-3p	1	0.142035363	0.671586177	0.002931994	0.932406245	0.201886188	0.005232883	0.000419156	0.050625742
hsa-miR-26a-5p	1	0.690741414	0.619340489	0.728113202	0.560094377	0.443968537	1.013068208	0.302840134	0.110044639
hsa-miR-10a-5p	1	0.250152158	0.534188828	0.461660796	0.18672145	1.25	0.103493385	0.005065137	0.19818638
hsa-let-7a-5p/7c-5p	1	0.739774372	0.909126764	0.673055988	1.25	1.167708693	1.127026308	0.366372624	0.120186392
hsa-miR-146b-5p	1	0.99120341	0.042253225	0.01549527	0.079578291	0.008554121	1.25	0.042526208	0.005184092
