miRNA	SRR14130226	T_lymphocyte	B_lymphocyte	Natural_killer_cell	B_cell_germinal_center	Macrophage	Dendritic_cell	CD15_cell	Endothelial_cell_lymphatic	Endothelial_cell_microvascular	Fibroblast_lymph_node
hsa-miR-21-5p	1	0.261752488	0.279512308	0.223927162	0.356006784	1.213173704	1.294759517	0.154142381	0.41945352	0.880542188	0.391952166
hsa-let-7g-5p	1	0.252194918	0.066792557	0.452450552	0.05608565	0.148347591	0.158985124	0.02497517	0.037095457	0.040490789	0.0382231
hsa-miR-26a-5p	1	0.300298663	0.121260225	0.657682476	0.180322688	0.460479079	0.300281737	0.552635735	0.184270706	0.260930458	0.190745582
hsa-miR-126-3p	1	0.024723068	0.039343804	0.000213249	5.64378E-05	0.000797864	0.000477687	0.001954945	0.210802033	0.405826489	0.001384339
hsa-let-7i-5p	1	0.615602967	0.038194153	0.20227638	0.122079039	0.30428495	0.2596513	0.165063361	0.107439581	0.198187107	0.200824049
hsa-let-7f-5p	1	1.242252803	0.113970212	1.607687419	0.99470594	1.724323443	1.22689711	0.242466674	0.4279055	0.636378478	0.705554563
hsa-miR-142-5p	1	0.869822472	2.349216071	2.515123304	1.709215013	0.599804181	0.619079527	2.831449846	8.27184E-05	7.11742E-05	4.32961E-05
hsa-miR-146b-5p	1	0.357101558	0.006394061	1.365175147	0.065296639	2.113764484	1.829832363	0.033098334	0.040451914	0.000762557	0.059174946
hsa-miR-148a-3p	1	1.612524859	0.119083896	0.196685212	2.124888276	0.167620135	0.043010814	1.032279138	0.049674048	0.011250044	0.193630417
hsa-miR-150-5p	1	4.797995249	10.29260367	4.22191866	0.023960444	0.005920708	0.022492086	0.059380902	0.000450968	0.000333638	8.16599E-05
