Gene name	miR_26b_5p	miR_29b_2_5p	miR_3150b_3p	miR_184	miR_199a_5p	miR_4298	miR_373_3p	miR_188_5p	miR_569	miR_219a_5p	miR_934	miR_302f	miR_663b
CD27_IgD_cell	91250.47747	114.082425	191.149275	0	0	0	0	0	0	0	0	0	0
CD27_IgA_cell	82460.0276	182.3391	165.0028	3.56485	0.58465	0	0	0	0	0	0	0	0
CD27_IgG_cell	75963.2477	116.44855	254.837	0	2.1079	0	0	0	0	0	0	0	1.78505
Conjunctival_epithelial_cell	6811.263225	1.4728	0	69328.30358	0	0	0	2.706075	0	0	7.75525	0	0
Fibroblast_foreskin	1828.62615	5.844625	0	8.679175	81422.14018	0	0	21.2584	0	3.606125	0	0	6.345525
Hematopoietic_stem_cell	48186.16928	0	0	0	32.6868	97949.86975	0	0	0	0	0	0	0
iPSC_fibroblast	3843.3318	0	3.570425	200.31335	146.426025	0	57406.9545	95.188775	0	0	4.099125	0	0
Smooth_muscle_cell_vascular	7958.237875	0	0	15.5946	10054.64323	0	0	974.967825	102.1736	3.8589	0	0	0
Neural_progenitor_cell_derived	2552.611775	21.888575	0	77.1733	3639.392775	0	36.637925	44.112475	0	1376.145375	458.788	0	0
iPSC_bone_marrow	3106.400775	0	0	26.30735	1367.751475	0	2378.029625	62.9474	0	23.95205	0	280.255475	0
Stellate_cell	394.7918	0	0	158.810325	118.63725	0	0	0	0	0	0	0	1387.7966
Nasal_epithelial_cell	5011.603975	4.992	0	321.85685	0	0	0	4.8814	0	0	7.3017	0	0
Ventral_midbrain_derived	5616.76735	5.6894	0	24.6223	3.417875	0	7.90875	15.287075	0	55.334625	0	0	0
iPSC_umbilical_cord_blood	3332.720525	0	0	24.34235	449.27165	0	3128.939375	51.076525	0	58.0161	0	0	0
B_lymphycyte	1614.534675	147.971775	13.218375	0	1431.859425	0	0	169.7149	0	0	0	0	0
Ectoderm_precursor_derived	4355.023475	2.0688	0	40.42455	1.321725	0	665.528175	67.92895	0	38.1211	0	0	0.63455
Keratinocyte_neonatal	2827.442	2.7462	0	0	12.4492	0	0	38.6293	0	3.1123	13.9139	0	2.0138
Mesenchymal_stromal_cell	1085.945325	12.08065	0	2.0017	11526.02293	0	0.677575	17.5421	0	0.59805	0	0	0.713275
Myotube	1428.235525	0.842475	0	33.011075	640.428625	0	3.2912	42.02185	0	0.17935	0	0	0
Neuron	2883.3972	10.783	0	135.3655	1396.2055	0	7.2418	21.8349	0	163.5511	0	0	0
