miRNA	SPLEEN	 red blood cells	 platelets	Mononuclear_immune_cell	 neutrophils	 natural killer cells	 macrophgaes	 endothelial cells	 fibroblasts	lymphocytes
hsa-let-7b-5p	1	0.025727111	0.097611873	0.024236769	0.014612722	0.019181189	0.02652341	0.035339402	0.08072427	0.002326292
hsa-miR-181a-5p	1	0.135067139	0.327464148	0.820729976	0.262095786	1.015260724	0.769594353	0.465857639	0.168089175	0.247163245
hsa-miR-23a-3p/23b-3p	1	0.00089066	0.02555292	0.070948405	0.135446577	0.079712869	0.080371366	0.057437783	0.132492186	0.00529084
hsa-miR-26a-5p	1	0.175933975	1.824119608	1.714093958	2.012478373	1.284294142	0.899203804	0.698757607	0.497142236	0.268802237
hsa-miR-139-5p	1	1.26346E-06	0.006181768	0.006492092	0.000231634	1.08832E-05	0.004221909	0.003053264	5.16332E-05	0
hsa-miR-22-3p	1	0.495341424	0.518188011	0.430465405	0.26903375	0.636520565	2.433276878	2.80957603	2.147702659	0.265494463
hsa-miR-16-5p	1	2.662314515	0.295144966	0.444891735	0.516582502	0.264192098	0.498358752	0.189006576	0.127863307	0.405797982
hsa-let-7a-5p/7c-5p	1	0.439209893	1.116634837	0.967449101	0.669927941	1.075132355	1.221693483	1.372508225	1.439288275	0.397146938
hsa-miR-486-5p	1	12.12831783	5.289340015	0.882214641	0.458845791	0.01141173	0.01263845	0.003786255	0.019180225	0.035645122
hsa-miR-423-3p	1	0.015960239	0.149301325	0.137280173	0.177869919	0.140126499	0.29296743	0.110146809	0.067798758	0.112773478
