miRNA	Evolution	SRS918885	SRS918884	SRS1876178	SRS1318734	SRS1318732	SRS1318731	SRS1318730	SRS1318729	SRS3502618	SRS5448400	SRS5448401	SRS5448402	SRS5448403	SRS5448405	SRS1803298	SRS2909050	DRS008201	SRS3966940	SRS311709	DRS008311	DRS008202	ERS697290	SRS311711	SRS502217	DRS007994	DRS008197	DRS008196	DRS008301	DRS008305	DRS008306	DRS008303	DRS008304	SRS2408281	SRS2408280	SRS2408279	SRS2408286	SRS777545	SRS777546	SRS777549	SRS777550	SRS491067	SRS2313481	SRS2313489	ERS1473552	SRS789448	DRS008224	SRS7352324	SRS267264	SRS909170	SRS909169	SRS909168	SRS909162	SRS909167	SRS909163	SRS909164	SRS909165	DRS008094	DRS008095	DRS008096	DRS008097	DRS008098	SRS2958987	SRS1876165	SRS1876173	SRS1876177	DRS008326	DRS008327	SRS2408284	SRS2408283	SRS2408282	DRS008256	DRS008255	DRS008273	DRS008275	DRS008286	DRS008285	DRS008284	DRS017502	SRS2715586	SRS2715589	DRS008282	DRS008281	DRS008283	DRS008288	DRS008290	DRS008336	DRS008342	DRS008343	DRS008410	DRS008409	DRS008408	DRS008412	DRS008411	ERS421809	ERS421808	SRS1960721	SRS3402842	SRS3402822	SRS3233109	SRS3233110	SRS3432096	SRS3432093	SRS3432076	SRS5517628	SRS5517629	SRS5517633	SRS5517634	SRS5517635	SRS5502306	SRS5502307	SRS5502309	SRS2987007	SRS2987008	SRS2987009	SRS2987011	SRS2987012	SRS2987015	SRS2987019	SRS2987017	SRS4337750	SRS4337754	SRS4337759	SRS4337769	SRS4337773	SRS4337775	SRS4337786	SRS4337797	SRS2020302	SRS2020304	SRS2020303	SRS2020308	SRS2020311	SRS2020310	SRS311706	SRS6087027
hsa-miR-182-5p	Bilateria	15.95678834	16.05382447	16.8741488	13.89785048	16.95714262	15.43126557	12.16673209	10.76607385	7.69730295	5.03256596	8.351445755	7.713900061	0.544375807	8.576443467	21.92501828	4.954022493	10.03637678	10.97480552	8.91890221	17.08970003	16.48614536	11.87934008	12.31338623	16.66889724	7.710543396	7.514827063	8.494746918	4.646200326	3.103976027	3.23340846	2.816652503	7.964476862	17.20036294	17.34688636	17.58433413	13.83703093	9.944927966	12.61944019	9.902457388	12.49494063	9.734403819	5.510154215	9.983517077	10.86870064	10.31929773	11.52131319	9.290087417	8.246718333	18.58439137	17.63534993	16.47737724	17.02506822	16.18432706	16.49319434	17.21851179	16.37489981	3.880712928	4.011416891	3.165737015	4.008577887	3.120662752	7.632360851	4.020180089	4.831853913	4.803283382	11.98183045	12.30254249	13.94545609	14.16328645	14.39640714	9.038276925	7.111020616	4.270994042	0.544375807	3.973915079	3.164588442	4.013776616	11.63960121	5.211465264	6.152046013	5.70677846	2.223569618	4.888078677	4.777414003	4.767332535	4.990560354	5.227354865	8.35574676	3.210395555	3.931529889	5.318359062	4.532565518	5.890990852	2.530541975	1.692363967	9.957268372	17.16334382	14.04573393	11.788799	12.16268876	10.92792554	12.11377597	10.43583536	10.18022988	9.317516809	10.63150154	10.9885551	11.08828864	8.017434864	7.575877813	7.731376023	8.222499553	8.183319864	8.312013112	9.285603087	8.013412075	8.377952454	7.287648583	9.017980819	14.89286353	15.35422335	14.70435307	14.18212274	13.89104705	13.77720056	13.88146191	13.64843227	17.54702011	17.79387709	17.62357206	17.8633132	18.07612204	17.96280691	16.5132465	16.38582115
hsa-miR-183-5p	Bilateria	12.9663425	13.13173187	14.63585674	14.69226925	17.25868175	15.73645256	12.47984067	10.74437185	7.087762827	4.955432064	0.544375807	6.544349195	0.544375807	8.254816164	15.15601006	4.423326798	7.450501328	8.673856255	7.957841601	14.94719395	13.19107215	7.414929313	11.24246723	17.93490369	6.000538475	5.366736825	6.677578133	0.544375807	0.544375807	0.544375807	0.544375807	4.99657967	14.83154041	15.52726321	15.46137156	12.11465802	10.61397664	13.52544781	10.54755511	13.45549574	7.453178167	3.984679107	6.790931919	10.04167076	7.22638919	8.253594293	7.950205868	5.581615923	14.44335869	13.6398059	12.9605752	13.93182809	13.71531489	14.07051313	14.74368698	13.90848505	2.063302624	1.644241142	1.982638353	2.556536448	0.544375807	3.525578595	2.168489157	2.774485634	2.505179735	10.74383316	10.9787632	11.53619548	12.44725098	12.08568329	6.813115007	5.178000275	3.455853145	0.544375807	0.544375807	0.544375807	3.145088446	9.697363847	3.265110265	3.941593546	0.544375807	0.544375807	3.30866136	2.470823369	0.544375807	0.544375807	2.922064029	5.368565505	1.837017746	1.998128412	2.899713363	2.35196069	3.937813191	1.80551054	1.407967231	6.686372063	12.79237944	9.864137282	9.21956189	9.091070523	9.422295648	10.30879095	9.160053055	5.070339127	5.000494061	5.599470861	6.571117767	7.194118531	4.146784392	4.29796157	4.231195477	4.778364705	3.441704485	4.908400575	5.676438126	4.453116478	4.919789892	3.612707043	5.063251666	15.51959747	15.83681163	14.66553812	14.523112	14.35698612	13.89735149	13.88319663	13.75114577	14.61056155	14.87486999	14.56541254	14.6036151	14.7595421	14.57807882	15.72000543	16.71284164
hsa-miR-184	Bilateria	12.63588423	12.38078649	4.754639889	2.656319217	6.067344528	7.094015779	8.357337425	5.529949667	0.544375807	0.544375807	0.544375807	0.544375807	4.604932164	5.770695617	0.544375807	0.544375807	0.544375807	0.544375807	4.862228625	0.544375807	4.602994361	0.544375807	12.54532308	13.76400975	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	2.363623534	0.544375807	0.544375807	0.544375807	4.002832978	4.67768463	6.212742529	4.494089236	6.026410081	0.544375807	0.544375807	0.544375807	6.271158586	4.13541945	5.525267078	4.211880928	2.949331711	8.890042064	8.640676674	8.570375798	9.380306185	9.83274496	7.982711086	9.097671291	8.024504177	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	3.572935892	3.670870927	3.863409398	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	3.494709135	0.544375807	0.544375807	0.544375807	2.637369171	0.544375807	2.048183791	2.568859346	6.310464294	7.852752198	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	3.711398582	2.703954243	2.687214351	1.946499741	0.544375807	0.544375807	2.668576232	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	11.36485383	10.96554723	10.20950072	10.31148592	10.74021956	10.32224902	10.64453999	10.50537064	6.172889817	6.685115284	6.706928244	10.24247778	10.21022098	9.985461108	9.673823272	9.217110727
hsa-miR-210-3p	Bilateria	8.333217611	8.598440968	12.18086783	11.0229472	12.24112573	12.06491513	10.11216268	11.82881871	16.9496822	4.909421576	0.544375807	0.544375807	0.544375807	4.473459664	14.45323333	8.180387545	10.12727964	10.45013257	13.77307411	10.24230678	10.05482258	10.72836692	14.00512618	8.726313517	7.023903215	6.823855052	6.196625898	8.583585822	5.42237445	3.680579538	9.620384089	8.509722136	14.21430274	14.07479412	13.93105315	13.24415866	6.278392133	8.951545375	6.446555827	8.747798985	13.88329959	5.372185311	5.162164544	6.147160566	7.205023905	10.05109738	8.623242326	6.200826091	12.70158252	12.41660878	12.62042696	12.97744374	12.41865891	12.74322357	12.43100654	12.20834305	4.359560921	7.481603691	5.615605942	9.47064738	9.191453969	5.257317336	9.023169944	7.326009449	7.425125042	6.919296498	7.608224898	12.93950037	13.40849	13.45605475	7.826468165	8.126542259	6.687513607	5.808893595	9.220630744	7.07608873	4.414619664	9.006497962	7.328167779	7.394457156	9.176664726	7.884689217	6.125203105	7.138348228	9.970277465	5.724276116	9.902284968	11.44297077	5.708749741	6.072603384	8.905601677	5.15705753	5.340036299	6.361425654	6.778497625	7.055134998	9.57697114	9.328514283	10.77012051	10.40030528	10.15790813	11.19747572	9.765210214	6.432021081	6.708780627	5.849947541	6.50120068	5.05486574	7.647382099	7.732786901	7.519879008	7.702476947	8.430390288	7.938472761	8.469313925	7.898997214	7.987708244	8.190356069	8.325234563	7.248114271	7.910594458	6.919001429	9.247987543	7.410089782	8.456495142	7.66275145	7.549822609	11.76997917	11.99280437	11.77519954	11.36663203	11.42039067	11.12204038	9.92851502	16.40312765
hsa-miR-31-5p	Bilateria	12.75407789	12.51135597	9.616957908	12.10095386	10.28207613	12.541077	6.788437249	6.976898395	18.70559651	10.13906425	0.544375807	8.25209184	8.829786662	7.562907878	4.614092416	12.02713909	5.350776131	6.016110051	13.34400073	12.14758232	12.17151528	11.20512897	11.70116603	3.002966219	11.61772222	12.20850887	11.87993603	12.08347276	13.49264647	13.19823946	12.67261359	11.36093189	15.2387136	15.41297142	15.81510653	16.519917	13.0021352	14.22072551	13.00382051	14.20195939	9.888074795	3.104444917	3.883059348	8.283261017	0.544375807	7.267220067	6.294815672	8.600705098	10.08855942	10.07143295	9.88959966	10.42106299	9.916548407	10.13239889	10.1431725	9.809458032	10.6859287	11.43231772	10.4898277	14.02508252	12.6525835	10.79637419	11.59847918	12.5461107	11.04015813	11.65527789	11.51493361	15.75752738	16.23789658	16.15898781	15.55932741	14.20393842	10.72632517	10.11677188	13.41123508	12.6342368	12.47516221	10.77173983	11.05683162	11.53240908	12.49615668	10.0908051	11.90738707	9.519559889	11.34547031	12.33198233	13.21476281	14.05718427	10.87154387	11.75594783	10.79694367	12.14957416	11.88160566	7.162194694	6.718480338	5.438141977	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	2.086781229	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	13.01088666	12.62707239	11.54838681	11.74478518	11.79339199	11.66172775	11.88403168	11.21935851	12.81719059	13.03244848	12.86200067	12.53987166	12.67171205	13.01216613	9.281868895	8.814139073
hsa-miR-375-3p	Bilateria	13.70781805	14.21906838	17.11413466	11.75548202	13.11140619	9.685756577	5.494502269	4.33231747	8.233957529	3.489216574	0.544375807	0.544375807	0.544375807	0.544375807	14.62259564	0.544375807	13.21966993	13.40353004	6.654008871	12.42191961	14.1678046	12.75954725	8.620655715	21.48631514	0.544375807	0.544375807	0.544375807	0.544375807	1.943303774	0.544375807	0.544375807	0.544375807	11.09584585	10.6686647	10.76850301	7.30284182	6.739349095	9.459107046	6.676378355	9.272159202	5.363226425	0.544375807	3.883059348	0.544375807	8.738416092	7.267220067	4.113796007	2.633274449	10.43226869	10.7200727	10.39495496	11.38510251	10.37726066	10.59147316	11.11682211	10.73438515	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	1.537061767	3.953136511	0.544375807	0.544375807	0.544375807	8.556163979	8.7464387	8.867499556	3.22159508	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	1.535070779	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	1.336783078	2.57953141	10.80120421	12.14284982	11.90801945	12.97984878	12.45436746	12.93353671	11.33176656	11.08423739	2.957389502	3.294601494	2.596806684	2.661792681	0.544375807	4.818967669	2.990707183	3.344034352	6.861576102	8.555381761	8.495266515	9.402055159	8.803402466	6.213108295	9.361351593	9.997063318	13.13565087	14.0831198	13.46935003	13.82631064	12.53859638	12.00521081	12.83410642	11.88913456	16.40240614	16.91882145	16.32179411	16.62956232	16.5397006	17.75008587	8.079198348	8.164613019
hsa-miR-96-5p	Bilateria	6.7402521	7.041944227	10.80481934	15.60367575	17.16618549	17.00519305	12.88278264	11.64505161	5.250510087	0.544375807	0.544375807	0.544375807	0.544375807	3.848546589	10.31061391	2.995559335	0.544375807	8.495211409	4.602876131	12.69634741	7.927191812	3.56399016	7.732165998	12.47307852	2.924865238	3.307623233	2.399645239	0.544375807	0.544375807	0.544375807	0.544375807	2.363623534	14.05642749	14.55910034	14.54034505	9.4777002	9.510799662	11.80253564	9.362120412	11.732154	9.004311132	0.544375807	3.114708993	5.269277623	2.999338146	7.773640854	5.972110516	3.316729895	9.286454673	7.461444237	7.638582528	8.829854958	7.480941115	6.792729371	7.592491589	6.395747399	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	1.636546904	1.454813843	5.576539258	6.487034072	10.01845042	10.64260539	10.44238893	4.957254826	3.75996132	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	4.76946634	0.544375807	0.544375807	0.544375807	0.544375807	1.723411258	1.709206465	0.544375807	0.544375807	0.544375807	3.963169626	1.672683825	1.815765333	0.544375807	0.544375807	0.544375807	1.959619143	1.182370852	2.749368275	11.62936836	6.417421621	6.953857836	6.29738944	9.796858524	10.37547244	8.233814326	0.544375807	0.544375807	2.51397931	0.544375807	0.544375807	3.401422955	2.365640039	2.908418757	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	1.756864507	16.97243443	17.62473205	16.91976596	16.16564543	16.29732817	15.67859051	16.41973636	16.07160066	10.7584208	10.83901303	10.60632909	10.15989631	10.15879486	10.5467739	12.35407975	14.76539779
hsa-miR-101-3p	Vertebrata	10.6872385	10.76393201	14.56583308	13.61487817	14.13525632	15.23984434	13.04937173	14.24973588	17.91016154	11.82484707	13.35388546	11.28779283	11.79898493	11.57047121	19.11706727	12.33933997	15.98392775	17.08497541	16.80164908	12.7440028	12.04747064	16.12805813	15.50059836	15.269156	12.37285107	10.74514059	10.6976031	11.08479281	8.955521378	9.285357973	11.90007257	10.43318063	16.25522065	16.39621742	16.64845505	13.27687688	11.9956444	13.69085007	12.0713041	13.68370515	14.69566272	14.52820513	15.45369276	14.46996859	12.50846862	18.41399774	12.87737532	16.84800596	12.04233355	11.55829994	12.39676408	12.85129173	12.26549876	12.67089062	12.66295486	12.11446645	9.626372238	10.79051555	9.803381351	11.64423078	11.33696061	9.146492716	8.532937048	9.740047859	9.174167945	9.988445048	10.7781618	12.78601631	13.19343113	13.31905924	10.71797204	10.36203366	4.514688876	5.219977567	9.085108684	8.90100033	7.909618759	10.91859627	8.676758856	8.47943875	13.7425807	10.20591089	12.25678723	10.1616305	9.706804802	9.502103906	9.879752863	12.19584747	10.88210377	10.36220443	9.921722618	8.840049437	9.589410311	8.772757612	8.224730125	10.57455064	14.89712449	13.93788921	15.89390983	14.17624005	16.1163372	16.24611765	15.17728158	13.3527968	12.74830955	13.29440202	13.51630113	12.7774937	12.73996329	12.57006658	12.73738358	12.47410615	12.44586161	12.30453862	12.09273051	11.94323341	12.37727051	12.02429848	12.81648017	13.28681016	13.21542333	12.65725748	12.92609733	12.44282915	11.94805679	12.10824415	12.19028004	14.91228002	15.09154597	14.86758618	14.16110678	14.28164395	14.75055777	18.14904869	17.11909696
hsa-miR-122-5p	Vertebrata	6.083527691	7.202053078	4.144155327	6.293708622	14.03599982	8.27460909	4.447260499	0.544375807	7.962077515	3.610750629	7.364187789	5.598937374	5.242944699	5.424520102	5.689568662	2.922419633	19.8494284	20.5094398	3.954467042	13.54278671	14.22942002	7.796388765	0.544375807	0.544375807	0.544375807	5.366736825	8.461207704	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	3.297787164	0.544375807	2.745539829	0.544375807	4.4573446	0.544375807	0.544375807	7.530238993	0.544375807	0.544375807	11.23269144	2.901615778	6.782144696	7.242990444	9.318572588	8.937441256	8.39321111	9.787485492	8.170213965	8.061566724	0.544375807	2.066216815	0.544375807	0.544375807	0.544375807	1.637680043	1.465915252	1.719658393	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	3.145088446	0.544375807	2.688190108	3.300491959	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	2.922064029	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	2.452175613	1.872239592	10.35137611	9.931911263	6.863561264	11.40024211	7.768637125	14.92396495	16.96390055	13.96520475	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	2.086781229	1.814071789	3.807686915	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	0.544375807	15.03420647	15.7915772	15.30898626	13.7559358	14.4774285	14.37444093	14.77227993	14.98273478	3.997851102	2.662437608	3.196628014	13.60821728	13.56035434	15.22243414	0.544375807	0.544375807
hsa-miR-126-3p	Vertebrata	6.652556273	6.998977199	8.391223798	8.345953332	13.69720632	13.30803774	9.667831506	9.373548665	21.01762815	16.8455846	18.83689275	16.6509615	16.59897775	17.00998654	17.12854322	18.79562976	15.67309409	17.96470492	8.127434518	8.935974112	7.394403593	14.43547582	9.971003025	7.650152788	3.841520601	7.758144425	6.326519765	4.137652693	3.629786343	3.474862364	4.460641228	3.847865803	12.43277669	12.67185198	12.56403428	8.328714092	9.789139617	11.88964692	9.814391778	11.99100264	14.03801453	8.536193671	7.752085581	12.40193679	5.189980691	13.11588706	16.38011975	14.91670434	9.784055961	10.15736315	10.37824813	11.36275927	10.357405	10.69401218	10.49318501	9.983698097	2.495657502	2.687281465	2.184938769	3.38934944	3.120662752	0.544375807	5.764987081	4.402554491	4.626989537	3.888071998	4.788778538	7.948701676	8.719836688	8.266715943	7.136164043	6.829316561	0.544375807	0.544375807	3.193816036	3.305535427	2.170216012	6.206859823	2.447249678	2.297381115	5.70677846	2.223569618	2.859237171	4.723473389	4.934000259	6.15570794	5.461440954	7.057448522	2.805695334	3.2537181	3.811224965	3.534848325	0.544375807	0.993473301	0.544375807	11.1318489	12.86185606	12.82572602	11.65978168	11.33755683	17.49215797	16.53905268	15.71100483	13.93334488	12.92362461	13.66283087	13.91589316	12.97288434	13.52397844	13.94640993	14.44947211	12.88692272	14.06169642	12.98471996	13.67323173	13.65895213	13.61440649	13.41125239	13.02376319	10.49623321	11.80112281	10.65920933	10.55198503	10.08954641	10.23805459	9.189693588	9.930143473	10.58030651	10.88169566	10.6271777	11.18919431	11.16543057	10.95172364	12.11307665	12.70186186
