Filtered_miRNA_Reads	Unique_miRNAs	groups
722561	469	Fat
2290147	512	Fat
1848312	508	Fat
932221	418	Fat
1868037	488	Fat
1050961	625	Epithelial
746993	555	Epithelial
1220391	621	Epithelial
179055	338	Fibroblast
137027	310	Fibroblast
1709915	699	Brain
266584	421	Brain
463349	530	Brain
592148	513	Brain
908797	623	Brain
1656837	621	Brain
1305925	574	Brain
2026968	646	Brain
1587448	632	Brain
1840348	572	Brain
2188377	577	Brain
5373258	609	Immune
1919379	553	Immune
3452886	573	Immune
567393	462	Immune
90986	208	Immune
57542631	1090	Epithelial
697110	482	Epithelial
253942	364	Epithelial
93904	301	Epithelial
103963	272	Epithelial
69442	247	Epithelial
859423	566	Stem
3166429	832	Stem
2570791	743	Stem
1680352	660	Stem
13533418	1139	Stem
3173498	813	Stem
5613240	899	Stem
2750971	796	Stem
936932	648	Stem
802512	672	Stem
1006401	707	Stem
9242491	1152	Stem
1344534	705	Stem
2425982	895	Stem
337627	567	Stem
529012	645	Stem
945648	686	Stem
1296868	682	Stem
944096	697	Stem
596656	620	Stem
851404	679	Stem
7938856	1062	Stem
1806800	828	Stem
6607727	1036	Stem
4934215	983	Stem
1179821	676	Stem
1982775	816	Stem
4705381	989	Stem
526314	579	Stem
3738065	878	Stem
939890	653	Stem
1372972	757	Stem
9126926	789	Stem
1163339	509	Stem
344027	368	Stem
1172297	483	Stem
1475975	508	Stem
1394491	515	Stem
1485553	534	Stem
1036255	495	Stem
1569965	524	Stem
1136316	506	Stem
1133121	490	Stem
150901	315	Stem
1232605	492	Stem
611456	418	Stem
1477052	526	Stem
1474696	531	Stem
1001630	487	Stem
1898512	555	Stem
1340238	500	Stem
2190063	572	Stem
1519994	516	Stem
628931	436	Epithelial
686435	515	Epithelial
563265	459	Epithelial
128949	218	Epithelial
690868	516	Epithelial
820076	525	Epithelial
501789	495	Epithelial
827018	400	Epithelial
814494	400	Epithelial
1057821	427	Epithelial
521212	358	Epithelial
880314	421	Epithelial
326387	339	Epithelial
371562	319	Epithelial
482893	329	Epithelial
385859	334	Epithelial
644313	372	Epithelial
90028	262	Epithelial
99388	261	Epithelial
80389	264	Epithelial
1266636	564	Stem
2246306	719	Stem
1039234	671	Stem
828453	475	Muscle
673464	446	Muscle
926455	516	Muscle
966338	543	Muscle
275451	381	Muscle
742551	493	Muscle
893408	507	Muscle
742968	469	Muscle
602834	473	Muscle
246692	320	Immune
650469	415	Immune
1237246	495	Immune
1144480	487	Immune
364666	339	Immune
409447	357	Immune
774168	438	Immune
1438788	490	Immune
793055	444	Immune
2778366	612	Immune
3479699	629	Immune
927363	459	Immune
615996	377	Immune
3071894	628	Immune
3200477	622	Immune
1291339	460	Immune
1585791	513	Immune
609417	412	Immune
1389490	501	Immune
1089875	466	Immune
470426	375	Immune
2251736	561	Immune
1433659	509	Immune
2500569	610	Immune
3095156	632	Immune
5295717	734	Immune
3337035	631	Immune
1737843	536	Immune
4123790	672	Immune
1537092	531	Immune
2890169	654	Immune
2323069	599	Immune
1171387	478	Immune
2835159	595	Immune
1313416	504	Immune
2554665	571	Immune
1843682	532	Immune
1108983	457	Immune
1542835	495	Immune
2176301	576	Immune
6007236	735	Immune
8314477	774	Immune
2104253	597	Immune
2125353	578	Immune
471483	342	Immune
475361	339	Immune
467646	331	Immune
479059	347	Immune
55681	224	Immune
86351	274	Immune
232237	289	Immune
70728	219	Immune
207557	283	Immune
214613	272	Immune
161789	277	Immune
111689	230	Immune
81166	229	Immune
73992	224	Immune
86194	247	Immune
69530	222	Immune
54524	213	Immune
248930	301	Immune
343096	323	Immune
430683	360	Immune
1162773	463	Immune
104905	240	Immune
190130	290	Immune
503375	383	Immune
375864	350	Immune
96687	251	Immune
480621	376	Immune
360014	341	Immune
64194	231	Immune
68350	209	Immune
339198	353	Immune
59733	231	Immune
131641	288	Immune
98956	261	Immune
473887	377	Immune
1852676	488	Immune
182775	225	Immune
55658	169	Immune
264351	284	Immune
620965	354	Immune
149746	216	Immune
196796	239	Immune
886781	385	Immune
508860	313	Immune
228948	261	Immune
1291585	448	Immune
322723	290	Immune
331610	277	Immune
457264	318	Immune
573651	324	Immune
372158	306	Immune
631888	358	Immune
121747	204	Immune
276255	277	Immune
104216	197	Immune
581623	339	Immune
464567	297	Immune
77228	178	Immune
53255	172	Immune
1371687	422	Immune
2698518	500	Immune
1372303	429	Immune
962395	378	Immune
1792606	452	Immune
862259	411	Immune
927834	396	Immune
